episode_name_number,episode,imdb_rating,season,season_ep_name
S5.E8 ∙ The One with All the Thanksgivings,8,9,5,S5.E8: The One with All the Thanksgivings
S5.E9 ∙ The One with Ross's Sandwich,9,9,5,S5.E9: The One with Ross's Sandwich
S5.E10 ∙ The One with the Inappropriate Sister,10,8,5,S5.E10: The One with the Inappropriate Sister
S5.E11 ∙ The One with All the Resolutions,11,9,5,S5.E11: The One with All the Resolutions
S5.E12 ∙ The One with Chandler's Work Laugh,12,8.1,5,S5.E12: The One with Chandler's Work Laugh
S5.E13 ∙ The One with Joey's Bag,13,7.9,5,S5.E13: The One with Joey's Bag
S5.E14 ∙ The One Where Everybody Finds Out,14,9.7,5,S5.E14: The One Where Everybody Finds Out
S5.E15 ∙ The One with the Girl Who Hits Joey,15,8.4,5,S5.E15: The One with the Girl Who Hits Joey
S5.E16 ∙ The One with the Cop,16,8.5,5,S5.E16: The One with the Cop
S5.E17 ∙ The One with Rachel's Inadvertent Kiss,17,8.3,5,S5.E17: The One with Rachel's Inadvertent Kiss
S5.E18 ∙ The One Where Rachel Smokes,18,7.8,5,S5.E18: The One Where Rachel Smokes
S5.E19 ∙ The One Where Ross Can't Flirt,19,8.6,5,S5.E19: The One Where Ross Can't Flirt
S5.E20 ∙ The One with the Ride Along,20,8.1,5,S5.E20: The One with the Ride Along
S5.E21 ∙ The One with the Ball,21,8.3,5,S5.E21: The One with the Ball
S5.E22 ∙ The One with Joey's Big Break,22,8.1,5,S5.E22: The One with Joey's Big Break
S5.E23 ∙ The One in Vegas: Part 1,23,8.6,5,S5.E23: The One in Vegas: Part 1
S5.E24 ∙ The One in Vegas: Part 2,24,9,5,S5.E24: The One in Vegas: Part 2
S6.E1 ∙ The One After Vegas,1,8.6,6,S6.E1: The One After Vegas
S6.E2 ∙ The One Where Ross Hugs Rachel,2,8,6,S6.E2: The One Where Ross Hugs Rachel
S6.E3 ∙ The One with Ross's Denial,3,8,6,S6.E3: The One with Ross's Denial
S6.E4 ∙ The One Where Joey Loses His Insurance,4,8.3,6,S6.E4: The One Where Joey Loses His Insurance
S6.E5 ∙ The One with Joey's Porsche,5,8,6,S6.E5: The One with Joey's Porsche
