player_id,player,country,age,fivb_played,fivb_1st,fivb_2nd,fivb_3rd,fivb_4th,fivb_5th,fivb_9th,fivb_other,fivb_money,podium_rate,gold_rate,top5_rate,rating,win_prob,podium_prob
13699,Tri Bourne,USA,36,90,2,1,4,4,21,24,34,307463,0.07777777777777778,0.022222222222222223,0.35555555555555557,16,0.004193619747574631,0.008387239495149261
8338,Adrian Carambula,USA,38,95,3,3,4,4,13,18,50,275000,0.10526315789473684,0.031578947368421054,0.28421052631578947,15.3,0.004002413667004459,0.008004827334008919
13453,Trevor Crabb,USA,36,48,1,1,4,2,5,12,23,135000,0.125,0.020833333333333332,0.2708333333333333,15.2,0.003975819654429283,0.007951639308858565
13452,Chase Budinger,USA,37,67,1,4,1,3,11,14,33,115225,0.08955223880597014,0.014925373134328358,0.29850746268656714,15.2,0.003975819654429283,0.007951639308858565
1530,Mark Heese,Canada,65,109,2,4,5,5,13,25,55,350000,0.10091743119266056,0.01834862385321101,0.26605504587155965,14.6,0.0038199255359498943,0.007639851071899789
13454,Taylor Crabb,USA,34,57,1,0,3,3,9,19,22,168275,0.07017543859649122,0.017543859649122806,0.2807017543859649,14.3,0.0037442859424686834,0.007488571884937367
38,Eric Fonoimoana,USA,56,63,1,2,1,4,7,20,28,184875,0.06349206349206349,0.015873015873015872,0.23809523809523808,13.7,0.003597470390690414,0.007194940781380828
12,Dain Blanton,USA,54,68,2,1,3,4,5,17,36,207485,0.08823529411764706,0.029411764705882353,0.22058823529411764,13.6,0.003573567021181772,0.007147134042363544
6769,Martins Plavins,Latvia,40,196,7,4,6,6,17,45,111,461582,0.08673469387755102,0.03571428571428571,0.20408163265306123,13.2,0.00347953128288306,0.00695906256576612
141,Kevin Wong,USA,53,18,0,0,0,0,3,5,10,20000,0,0,0.16666666666666666,8.1,0.002476627104280273,0.004953254208560546
16101,Evan Cory,USA,28,22,0,0,1,0,2,5,14,25000,0.045454545454545456,0,0.13636363636363635,8.1,0.002476627104280273,0.004953254208560546
11645,Taylor Sander,USA,34,11,0,0,0,0,0,3,8,9250,0,0,0,4.2,0.001909607256199399,0.003819214512398798
