fips,state_alpha,countyname,areaname,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
02063,NA,Chugach Census Area,NA,1038,1374,1506,2094,2526
02066,NA,Copper River Census Area,NA,810,930,1130,1572,1896
02068,NA,Denali Borough,NA,851,935,1187,1651,1955
02070,NA,Dillingham Census Area,NA,894,1138,1247,1734,2054
02090,NA,Fairbanks North Star Borough,NA,1156,1277,1676,2331,2812
02100,NA,Haines Borough,NA,945,1033,1321,1771,2088
02105,NA,Hoonah-Angoon Census Area,NA,1007,1113,1460,1751,1933
02110,NA,Juneau City and Borough,NA,1212,1340,1758,2368,2679
02122,NA,Kenai Peninsula Borough,NA,993,1000,1312,1825,2201
02130,NA,Ketchikan Gateway Borough,NA,1120,1238,1625,2260,2726
02150,NA,Kodiak Island Borough,NA,1431,1581,2075,2488,2747
02158,NA,Kusilvak Census Area,NA,698,767,973,1353,1602
02164,NA,Lake and Peninsula Borough,NA,739,894,1030,1391,1596
02170,NA,Matanuska-Susitna Borough,NA,1015,1049,1376,1914,2308
02180,NA,Nome Census Area,NA,1227,1334,1533,2132,2525
02185,NA,North Slope Borough,NA,1115,1239,1625,1958,2664
02188,NA,Northwest Arctic Borough,NA,1331,1471,1930,2547,2676
02195,NA,Petersburg Borough,NA,1049,1211,1463,1754,2022
02198,NA,Prince of Wales-Hyder Census Area,NA,827,1030,1153,1464,1899
02220,NA,Sitka City and Borough,NA,1099,1350,1566,2178,2627
02230,NA,Skagway Municipality,NA,1133,1253,1644,2245,2708
02240,NA,Southeast Fairbanks Census Area,NA,942,1198,1313,1826,2162
02275,NA,Wrangell City and Borough,NA,921,928,1217,1682,2042
02282,NA,Yakutat City and Borough,NA,995,1094,1388,1753,2286
02290,NA,Yukon-Koyukuk Census Area,NA,981,1019,1126,1566,1854
04001,NA,Apache County,NA,810,903,1175,1599,1828
04003,NA,Cochise County,NA,887,1111,1257,1748,2109
04005,NA,Coconino County,NA,1597,1727,1921,2343,2568
04007,NA,Gila County,NA,1120,1127,1479,1871,2170
04009,NA,Graham County,NA,887,991,1244,1669,2087
04011,NA,Greenlee County,NA,798,970,1158,1388,1738
04012,NA,La Paz County,NA,873,879,1153,1604,1934
04013,NA,Maricopa County,NA,1457,1583,1839,2452,2720
04015,NA,Mohave County,NA,1053,1060,1365,1897,2090
04017,NA,Navajo County,NA,937,1026,1309,1622,1733
04019,NA,Pima County,NA,967,1081,1402,1950,2245
04021,NA,Pinal County,NA,1457,1583,1839,2452,2720
04023,NA,Santa Cruz County,NA,778,860,1129,1570,1615
04025,NA,Yavapai County,NA,1129,1309,1637,2277,2497
