"","box_office_rank","Title","Lifetime Gross","Year","links","id","imdb_link","imdb_rating"
"67",67,"Spider-Man: Homecoming",880166924,2017,"/title/tt2250912/?ref_=bo_cso_table_67","tt2250912","https://www.imdb.com/title/tt2250912",7.4
"68",68,"Harry Potter and the Chamber of Secrets",879602366,2002,"/title/tt0295297/?ref_=bo_cso_table_68","tt0295297","https://www.imdb.com/title/tt0295297",7.4
"69",69,"Ice Age: Continental Drift",877244782,2012,"/title/tt1667889/?ref_=bo_cso_table_69","tt1667889","https://www.imdb.com/title/tt1667889",6.5
"70",70,"The Secret Life of Pets",875458631,2016,"/title/tt2709768/?ref_=bo_cso_table_70","tt2709768","https://www.imdb.com/title/tt2709768",6.5
"71",71,"Batman v Superman: Dawn of Justice",873637528,2016,"/title/tt2975590/?ref_=bo_cso_table_71","tt2975590","https://www.imdb.com/title/tt2975590",6.4
"72",72,"Wolf Warrior 2",870325439,2017,"/title/tt7131870/?ref_=bo_cso_table_72","tt7131870","https://www.imdb.com/title/tt7131870",6
"73",73,"Star Wars: Episode III - Revenge of the Sith",868390560,2005,"/title/tt0121766/?ref_=bo_cso_table_73","tt0121766","https://www.imdb.com/title/tt0121766",7.5
"74",74,"The Hunger Games: Catching Fire",865011746,2013,"/title/tt1951264/?ref_=bo_cso_table_74","tt1951264","https://www.imdb.com/title/tt1951264",7.5
"75",75,"Guardians of the Galaxy Vol. 2",863756051,2017,"/title/tt3896198/?ref_=bo_cso_table_75","tt3896198","https://www.imdb.com/title/tt3896198",7.6
"76",76,"Inside Out",858848019,2015,"/title/tt2096673/?ref_=bo_cso_table_76","tt2096673","https://www.imdb.com/title/tt2096673",8.1
"77",77,"Venom",856085151,2018,"/title/tt1270797/?ref_=bo_cso_table_77","tt1270797","https://www.imdb.com/title/tt1270797",6.7
"78",78,"Thor: Ragnarok",853983911,2017,"/title/tt3501632/?ref_=bo_cso_table_78","tt3501632","https://www.imdb.com/title/tt3501632",7.9
"79",79,"Inception",836836967,2010,"/title/tt1375666/?ref_=bo_cso_table_79","tt1375666","https://www.imdb.com/title/tt1375666",8.8
"80",80,"Transformers: Revenge of the Fallen",836303693,2009,"/title/tt1055369/?ref_=bo_cso_table_80","tt1055369","https://www.imdb.com/title/tt1055369",6
"81",81,"The Twilight Saga: Breaking Dawn - Part 2",829747654,2012,"/title/tt1673434/?ref_=bo_cso_table_81","tt1673434","https://www.imdb.com/title/tt1673434",5.5
"82",82,"Spider-Man",825025036,2002,"/title/tt0145487/?ref_=bo_cso_table_82","tt0145487","https://www.imdb.com/title/tt0145487",7.3
"83",83,"Wonder Woman",822824522,2017,"/title/tt0451279/?ref_=bo_cso_table_83","tt0451279","https://www.imdb.com/title/tt0451279",7.4
"84",84,"Hi, Mom",822009764,2021,"/title/tt13364790/?ref_=bo_cso_table_84","tt13364790","https://www.imdb.com/title/tt13364790",7.1
"85",85,"Independence Day",817400891,1996,"/title/tt0116629/?ref_=bo_cso_table_85","tt0116629","https://www.imdb.com/title/tt0116629",7
"86",86,"Fantastic Beasts and Where to Find Them",814044001,2016,"/title/tt3183660/?ref_=bo_cso_table_86","tt3183660","https://www.imdb.com/title/tt3183660",7.3
"87",87,"Shrek the Third",813367380,2007,"/title/tt0413267/?ref_=bo_cso_table_87","tt0413267","https://www.imdb.com/title/tt0413267",6.1
"88",88,"Coco",807817888,2017,"/title/tt2380307/?ref_=bo_cso_table_88","tt2380307","https://www.imdb.com/title/tt2380307",8.4
"89",89,"Jumanji: The Next Level",800059707,2019,"/title/tt7975244/?ref_=bo_cso_table_89","tt7975244","https://www.imdb.com/title/tt7975244",6.7
"90",90,"Harry Potter and the Prisoner of Azkaban",797361618,2004,"/title/tt0304141/?ref_=bo_cso_table_90","tt0304141","https://www.imdb.com/title/tt0304141",7.9
"91",91,"Pirates of the Caribbean: Dead Men Tell No Tales",794881442,2017,"/title/tt1790809/?ref_=bo_cso_table_91","tt1790809","https://www.imdb.com/title/tt1790809",6.5
"92",92,"E.T. the Extra-Terrestrial",792910554,1982,"/title/tt0083866/?ref_=bo_cso_table_92","tt0083866","https://www.imdb.com/title/tt0083866",7.8
"93",93,"Mission: Impossible - Fallout",791657398,2018,"/title/tt4912910/?ref_=bo_cso_table_93","tt4912910","https://www.imdb.com/title/tt4912910",7.7
"94",94,"2012",791217826,2009,"/title/tt1190080/?ref_=bo_cso_table_94","tt1190080","https://www.imdb.com/title/tt1190080",5.8
"95",95,"Indiana Jones and the Kingdom of the Crystal Skull",790653942,2008,"/title/tt0367882/?ref_=bo_cso_table_95","tt0367882","https://www.imdb.com/title/tt0367882",6.1
"96",96,"Spider-Man 2",788976453,2004,"/title/tt0316654/?ref_=bo_cso_table_96","tt0316654","https://www.imdb.com/title/tt0316654",7.3
"97",97,"Fast & Furious 6",788680968,2013,"/title/tt1905041/?ref_=bo_cso_table_97","tt1905041","https://www.imdb.com/title/tt1905041",7
"98",98,"Deadpool 2",786470484,2018,"/title/tt5463162/?ref_=bo_cso_table_98","tt5463162","https://www.imdb.com/title/tt5463162",7.7
"99",99,"Deadpool",782836791,2016,"/title/tt1431045/?ref_=bo_cso_table_99","tt1431045","https://www.imdb.com/title/tt1431045",8
"100",100,"Star Wars: Episode IV - A New Hope",775398007,1977,"/title/tt0076759/?ref_=bo_cso_table_100","tt0076759","https://www.imdb.com/title/tt0076759",8.6
"101",101,"Guardians of the Galaxy",773350147,2014,"/title/tt2015381/?ref_=bo_cso_table_101","tt2015381","https://www.imdb.com/title/tt2015381",8
"102",102,"The Da Vinci Code",760006945,2006,"/title/tt0382625/?ref_=bo_cso_table_102","tt0382625","https://www.imdb.com/title/tt0382625",6.6
"103",103,"Fast & Furious Presents: Hobbs & Shaw",759056935,2019,"/title/tt6806448/?ref_=bo_cso_table_103","tt6806448","https://www.imdb.com/title/tt6806448",6.4
"104",104,"Maleficent",758411779,2014,"/title/tt1587310/?ref_=bo_cso_table_104","tt1587310","https://www.imdb.com/title/tt1587310",7
"105",105,"The Amazing Spider-Man",757930663,2012,"/title/tt0948470/?ref_=bo_cso_table_105","tt0948470","https://www.imdb.com/title/tt0948470",6.9
"106",106,"The Hunger Games: Mockingjay - Part 1",755356711,2014,"/title/tt1951265/?ref_=bo_cso_table_106","tt1951265","https://www.imdb.com/title/tt1951265",6.6
"107",107,"Shrek Forever After",752600867,2010,"/title/tt0892791/?ref_=bo_cso_table_107","tt0892791","https://www.imdb.com/title/tt0892791",6.3
"108",108,"Madagascar 3: Europe's Most Wanted",746921274,2012,"/title/tt1277953/?ref_=bo_cso_table_108","tt1277953","https://www.imdb.com/title/tt1277953",6.8
"109",109,"Suicide Squad",746846894,2016,"/title/tt1386697/?ref_=bo_cso_table_109","tt1386697","https://www.imdb.com/title/tt1386697",5.9
"110",110,"X-Men: Days of Future Past",746045700,2014,"/title/tt1877832/?ref_=bo_cso_table_110","tt1877832","https://www.imdb.com/title/tt1877832",7.9
"111",111,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,2005,"/title/tt0363771/?ref_=bo_cso_table_111","tt0363771","https://www.imdb.com/title/tt0363771",6.9
"112",112,"Monsters University",743559645,2013,"/title/tt1453405/?ref_=bo_cso_table_112","tt1453405","https://www.imdb.com/title/tt1453405",7.2
"113",113,"The Matrix Reloaded",741847937,2003,"/title/tt0234215/?ref_=bo_cso_table_113","tt0234215","https://www.imdb.com/title/tt0234215",7.2
"114",114,"Up",735099102,2009,"/title/tt1049413/?ref_=bo_cso_table_114","tt1049413","https://www.imdb.com/title/tt1049413",8.2
"115",115,"Ne Zha",726264074,2019,"/title/tt10627720/?ref_=bo_cso_table_115","tt10627720","https://www.imdb.com/title/tt10627720",7.5
"116",116,"Gravity",723192705,2013,"/title/tt1454468/?ref_=bo_cso_table_116","tt1454468","https://www.imdb.com/title/tt1454468",7.7
"117",117,"F9: The Fast Saga",716563170,2021,"/title/tt5433138/?ref_=bo_cso_table_117","tt5433138","https://www.imdb.com/title/tt5433138",5.2
"118",118,"Captain America: The Winter Soldier",714421503,2014,"/title/tt1843866/?ref_=bo_cso_table_118","tt1843866","https://www.imdb.com/title/tt1843866",7.7
"119",119,"The Twilight Saga: Breaking Dawn - Part 1",712205856,2011,"/title/tt1324999/?ref_=bo_cso_table_119","tt1324999","https://www.imdb.com/title/tt1324999",4.9
"120",120,"The Twilight Saga: New Moon",711025481,2009,"/title/tt1259571/?ref_=bo_cso_table_120","tt1259571","https://www.imdb.com/title/tt1259571",4.7
"121",121,"Dawn of the Planet of the Apes",710644566,2014,"/title/tt2103281/?ref_=bo_cso_table_121","tt2103281","https://www.imdb.com/title/tt2103281",7.6
"122",122,"Transformers",709709780,2007,"/title/tt0418279/?ref_=bo_cso_table_122","tt0418279","https://www.imdb.com/title/tt0418279",7
"123",123,"The Amazing Spider-Man 2",708982323,2014,"/title/tt1872181/?ref_=bo_cso_table_123","tt1872181","https://www.imdb.com/title/tt1872181",6.6
"124",124,"It",701796444,2017,"/title/tt1396484/?ref_=bo_cso_table_124","tt1396484","https://www.imdb.com/title/tt1396484",7.3
"125",125,"Interstellar",701729206,2014,"/title/tt0816692/?ref_=bo_cso_table_125","tt0816692","https://www.imdb.com/title/tt0816692",8.6
"126",126,"The Wandering Earth",699992512,2019,"/title/tt7605074/?ref_=bo_cso_table_126","tt7605074","https://www.imdb.com/title/tt7605074",6
"127",127,"The Twilight Saga: Eclipse",698491347,2010,"/title/tt1325004/?ref_=bo_cso_table_127","tt1325004","https://www.imdb.com/title/tt1325004",5
"128",128,"Mission: Impossible - Ghost Protocol",694713380,2011,"/title/tt1229238/?ref_=bo_cso_table_128","tt1229238","https://www.imdb.com/title/tt1229238",7.4
"129",129,"The Hunger Games",694394724,2012,"/title/tt1392170/?ref_=bo_cso_table_129","tt1392170","https://www.imdb.com/title/tt1392170",7.2
"130",130,"Detective Chinatown 3",686257563,2021,"/title/tt10370822/?ref_=bo_cso_table_130","tt10370822","https://www.imdb.com/title/tt10370822",5.7
"131",131,"Mission: Impossible - Rogue Nation",682716636,2015,"/title/tt2381249/?ref_=bo_cso_table_131","tt2381249","https://www.imdb.com/title/tt2381249",7.4
"132",132,"Forrest Gump",678226133,1994,"/title/tt0109830/?ref_=bo_cso_table_132","tt0109830","https://www.imdb.com/title/tt0109830",8.8
"133",133,"Doctor Strange",677796076,2016,"/title/tt1211837/?ref_=bo_cso_table_133","tt1211837","https://www.imdb.com/title/tt1211837",7.5
"134",134,"The Sixth Sense",672806432,1999,"/title/tt0167404/?ref_=bo_cso_table_134","tt0167404","https://www.imdb.com/title/tt0167404",8.1
"135",135,"Man of Steel",668045518,2013,"/title/tt0770828/?ref_=bo_cso_table_135","tt0770828","https://www.imdb.com/title/tt0770828",7
"136",136,"Ice Age: The Meltdown",667094506,2006,"/title/tt0438097/?ref_=bo_cso_table_136","tt0438097","https://www.imdb.com/title/tt0438097",6.8
"137",137,"Kung Fu Panda 2",665692281,2011,"/title/tt1302011/?ref_=bo_cso_table_137","tt1302011","https://www.imdb.com/title/tt1302011",7.2
"138",138,"The Hunger Games: Mockingjay - Part 2",658344137,2015,"/title/tt1951266/?ref_=bo_cso_table_138","tt1951266","https://www.imdb.com/title/tt1951266",6.6
"139",139,"Justice League",657926987,2017,"/title/tt0974015/?ref_=bo_cso_table_139","tt0974015","https://www.imdb.com/title/tt0974015",6.1
"140",140,"Big Hero 6",657869686,2014,"/title/tt2245084/?ref_=bo_cso_table_140","tt2245084","https://www.imdb.com/title/tt2245084",7.8
"141",141,"Fantastic Beasts: The Crimes of Grindelwald",654855901,2018,"/title/tt4123430/?ref_=bo_cso_table_141","tt4123430","https://www.imdb.com/title/tt4123430",6.5
"142",142,"Pirates of the Caribbean: The Curse of the Black Pearl",654264015,2003,"/title/tt0325980/?ref_=bo_cso_table_142","tt0325980","https://www.imdb.com/title/tt0325980",8
"143",143,"Star Wars: Episode II - Attack of the Clones",653779970,2002,"/title/tt0121765/?ref_=bo_cso_table_143","tt0121765","https://www.imdb.com/title/tt0121765",6.5
"144",144,"Thor: The Dark World",644783140,2013,"/title/tt1981115/?ref_=bo_cso_table_144","tt1981115","https://www.imdb.com/title/tt1981115",6.8
"145",145,"Moana",643729718,2016,"/title/tt3521164/?ref_=bo_cso_table_145","tt3521164","https://www.imdb.com/title/tt3521164",7.6
"146",146,"Sing",634208384,2016,"/title/tt3470600/?ref_=bo_cso_table_146","tt3470600","https://www.imdb.com/title/tt3470600",7.1
"147",147,"Kung Fu Panda",631746197,2008,"/title/tt0441773/?ref_=bo_cso_table_147","tt0441773","https://www.imdb.com/title/tt0441773",7.6
"148",148,"The Incredibles",631607053,2004,"/title/tt0317705/?ref_=bo_cso_table_148","tt0317705","https://www.imdb.com/title/tt0317705",8
"149",149,"The Martian",630162448,2015,"/title/tt3659388/?ref_=bo_cso_table_149","tt3659388","https://www.imdb.com/title/tt3659388",8
"150",150,"Hancock",629443428,2008,"/title/tt0448157/?ref_=bo_cso_table_150","tt0448157","https://www.imdb.com/title/tt0448157",6.4
"151",151,"Fast Five",626137675,2011,"/title/tt1596343/?ref_=bo_cso_table_151","tt1596343","https://www.imdb.com/title/tt1596343",7.3
"152",152,"Men in Black 3",624026776,2012,"/title/tt1409024/?ref_=bo_cso_table_152","tt1409024","https://www.imdb.com/title/tt1409024",6.8
"153",153,"Iron Man 2",623933331,2010,"/title/tt1228705/?ref_=bo_cso_table_153","tt1228705","https://www.imdb.com/title/tt1228705",7
"154",154,"Ratatouille",623726085,2007,"/title/tt0382932/?ref_=bo_cso_table_154","tt0382932","https://www.imdb.com/title/tt0382932",8
"155",155,"Ant-Man and the Wasp",622674139,2018,"/title/tt5095030/?ref_=bo_cso_table_155","tt5095030","https://www.imdb.com/title/tt5095030",7
"156",156,"How to Train Your Dragon 2",621537519,2014,"/title/tt1646971/?ref_=bo_cso_table_156","tt1646971","https://www.imdb.com/title/tt1646971",7.8
"157",157,"Logan",619179950,2017,"/title/tt3315342/?ref_=bo_cso_table_157","tt3315342","https://www.imdb.com/title/tt3315342",8.1
"158",158,"The Lost World: Jurassic Park",618638999,1997,"/title/tt0119567/?ref_=bo_cso_table_158","tt0119567","https://www.imdb.com/title/tt0119567",6.6
"159",159,"Casino Royale",616502912,2006,"/title/tt0381061/?ref_=bo_cso_table_159","tt0381061","https://www.imdb.com/title/tt0381061",8
"160",160,"The Passion of the Christ",612054506,2004,"/title/tt0335345/?ref_=bo_cso_table_160","tt0335345","https://www.imdb.com/title/tt0335345",7.2
"161",161,"Mamma Mia!",611257819,2008,"/title/tt0795421/?ref_=bo_cso_table_161","tt0795421","https://www.imdb.com/title/tt0795421",6.4
"162",162,"Life of Pi",609016565,2012,"/title/tt0454876/?ref_=bo_cso_table_162","tt0454876","https://www.imdb.com/title/tt0454876",7.9
"163",163,"Transformers: The Last Knight",605425157,2017,"/title/tt3371366/?ref_=bo_cso_table_163","tt3371366","https://www.imdb.com/title/tt3371366",5.2
"164",164,"Madagascar: Escape 2 Africa",603900354,2008,"/title/tt0479952/?ref_=bo_cso_table_164","tt0479952","https://www.imdb.com/title/tt0479952",6.6
"165",165,"War of the Worlds",603873119,2005,"/title/tt0407304/?ref_=bo_cso_table_165","tt0407304","https://www.imdb.com/title/tt0407304",6.5
"166",166,"Tangled",592462816,2010,"/title/tt0398286/?ref_=bo_cso_table_166","tt0398286","https://www.imdb.com/title/tt0398286",7.7
"167",167,"Quantum of Solace",589580482,2008,"/title/tt0830515/?ref_=bo_cso_table_167","tt0830515","https://www.imdb.com/title/tt0830515",6.6
"168",168,"Men in Black",589390539,1997,"/title/tt0119654/?ref_=bo_cso_table_168","tt0119654","https://www.imdb.com/title/tt0119654",7.3
"169",169,"The Croods",587235983,2013,"/title/tt0481499/?ref_=bo_cso_table_169","tt0481499","https://www.imdb.com/title/tt0481499",7.2
