year,title,id,nominees_or_winner,imdb_url,producers
2018,Lady Bird,tt4925292,nominee,https://www.imdb.com/title/tt4925292/,IAC Films|Scott Rudin Productions|Entertainment 360|Mission Films
2018,The Post,tt6294822,nominee,https://www.imdb.com/title/tt6294822/,Twentieth Century Fox|DreamWorks Pictures|Reliance Entertainment|TSG Entertainment|Participant
2018,"Three Billboards Outside Ebbing, Missouri",tt5027774,nominee,https://www.imdb.com/title/tt5027774/,Blueprint Pictures|Film4|Searchlight Pictures
2018,Phantom Thread,tt5776858,nominee,https://www.imdb.com/title/tt5776858/,Focus Features|Annapurna Pictures|Perfect World Pictures|JoAnne Sellar Productions|Ghoulardi Film Company
2017,Moonlight,tt4975722,winner,https://www.imdb.com/title/tt4975722/,A24|Plan B Entertainment|PASTEL
2017,Arrival,tt2543164,nominee,https://www.imdb.com/title/tt2543164/,Lava Bear Films|FilmNation Entertainment|21 Laps Entertainment|Xenolinguistics
2017,Fences,tt2671706,nominee,https://www.imdb.com/title/tt2671706/,BRON Studios|Escape Artists|Macro|Paramount Pictures|Scott Rudin Productions
2017,Hacksaw Ridge,tt2119532,nominee,https://www.imdb.com/title/tt2119532/,Summit Entertainment|Cross Creek Pictures|Demarest Films|Pandemonium|Permut Presentations
2017,Hell or High Water,tt2582782,nominee,https://www.imdb.com/title/tt2582782/,CBS Films|Sidney Kimmel Entertainment|Madison Wells|Film 44|LBI Productions
2017,Hidden Figures,tt4846340,nominee,https://www.imdb.com/title/tt4846340/,Fox 2000 Pictures|Chernin Entertainment|Levantine Films|TSG Entertainment
2017,La La Land,tt3783958,nominee,https://www.imdb.com/title/tt3783958/,Summit Entertainment|Black Label Media|TIK Films|Impostor Pictures|Gilbert Films
2017,Lion,tt3741834,nominee,https://www.imdb.com/title/tt3741834/,See-Saw Films|The Weinstein Company|Screen Australia|Aquarius Films|Sunstar Entertainment
2017,Manchester by the Sea,tt4034228,nominee,https://www.imdb.com/title/tt4034228/,Amazon Studios|K Period Media|Pearl Street Films|The Media Farm|The Affleck/Middleton Project
2016,Spotlight,tt1895587,winner,https://www.imdb.com/title/tt1895587/,Participant|First Look Media|Anonymous Content|Rocklin/Faust|Open Road Films
2016,The Revenant,tt1663202,nominee,https://www.imdb.com/title/tt1663202/,New Regency Productions|RatPac Entertainment|New Regency Productions|Anonymous Content|M Productions
2016,Room,tt3170832,nominee,https://www.imdb.com/title/tt3170832/,Element Pictures|Bord Scannán na hÉireann / The Irish Film Board|Film4|FilmNation Entertainment|No Trace Camping
2016,Brooklyn,tt2381111,nominee,https://www.imdb.com/title/tt2381111/,Wildgaze Films|BBC Film|Parallel Film Productions|BAI|BBC Film
2016,Bridge of Spies,tt3682448,nominee,https://www.imdb.com/title/tt3682448/,DreamWorks Pictures|Fox 2000 Pictures|Reliance Entertainment|Participant|TSG Entertainment
