season,episode,title,rating,votes
3,17,The Goat,8.1,4248
3,18,Rebound Bro,7.9,4149
3,19,Everything Must Go,7.5,4119
3,20,Miracles,8.5,4559
4,1,Do I Know You?,8.5,4678
4,2,The Best Burger in New York,8.4,5034
4,3,I Heart NJ,7.5,4139
4,4,Intervention,8.7,4911
4,5,Shelter Island,8.2,4374
4,6,Happily Ever After,7.9,4166
4,7,Not a Father's Day,7.6,4050
4,8,Woooo!,7.9,4275
4,9,The Naked Man,9.1,6641
4,10,The Fight,8.2,4303
4,11,Little Minnesota,8,4228
4,12,Benefits,8.5,4526
4,13,Three Days of Snow,8.4,4492
4,14,The Possimpible,8.2,4271
4,15,The Stinsons,8.2,4393
4,16,"Sorry, Bro",7.6,4148
4,17,The Front Porch,8.2,4351
4,18,Old King Clancy,7.4,3971
4,19,Murtaugh,8.3,4283
4,20,Mosbius Designs,7.4,4008
4,21,The Three Days Rule,8.6,4487
4,22,Right Place Right Time,8.1,4155
4,23,As Fast as She Can,7.5,4040
4,24,The Leap,8.6,4682
5,1,Definitions,8.4,4457
5,2,Double Date,8,4095
5,3,Robin 101,8.2,4257
5,4,The Sexless Innkeeper,7.8,4294
5,5,Duel Citizenship,7.6,4052
5,6,Bagpipes,7.6,3907
5,7,The Rough Patch,7.6,4118
5,8,The Playbook,9.3,8215
5,9,Slapsgiving 2: Revenge of the Slap,7.8,4248
5,10,The Window,8,4160
5,11,Last Cigarette Ever,7.7,4346
5,12,Girls vs. Suits,9,6681
5,13,Jenkins,8.5,4542
5,14,Perfect Week,8.7,4890
5,15,Rabbit or Duck,7.9,4047
5,16,Hooked,7.6,3969
5,17,Of Course,8.2,4426
5,18,Say Cheese,8.1,4098
5,19,Zoo or False,7.4,3965
5,20,Home Wreckers,7.7,3973
5,21,Twin Beds,7.6,3874
5,22,Robots vs. Wrestlers,8.1,4107
5,23,The Wedding Bride,7.9,4283
5,24,Doppelgangers,8.3,4194
6,1,Big Days,8,4210
6,2,Cleaning House,8.2,4361
6,3,Unfinished,7.6,3902
6,4,Subway Wars,8.5,4587
6,5,Architect of Destruction,7.6,3819
6,6,Baby Talk,7.5,3833
6,7,Canning Randy,7.5,3770
6,8,Natural History,8,3972
6,9,Glitter,8.4,4545
6,10,Blitzgiving,9,6130
6,11,The Mermaid Theory,7.8,3970
6,12,False Positive,8.1,3993
6,13,Bad News,8.9,5938
6,14,Last Words,8.6,4854
6,15,Oh Honey,8.7,5099
6,16,Desperation Day,7.9,3858
6,17,Garbage Island,7.5,3668
6,18,A Change of Heart,8.1,3987
6,19,Legendaddy,8.2,4276
6,20,The Exploding Meatball Sub,7.5,3664
6,21,Hopeless,7.8,3685
6,22,The Perfect Cocktail,7.7,3722
6,23,Landmarks,7.6,3636
6,24,Challenge Accepted,8.4,4193
7,1,The Best Man,8.4,4941
7,2,The Naked Truth,7.9,4086
7,3,Ducky Tie,8.8,5288
7,4,The Stinson Missile Crisis,7.9,3932
7,5,Field Trip,7.3,3736
7,6,Mystery vs. History,7.6,3906
7,7,Noretta,7.6,3888
7,8,The Slutty Pumpkin Returns,7.2,3980
7,9,Disaster Averted,8.2,4163
7,10,Tick Tick Tick,8.9,5955
7,11,The Rebound Girl,7.8,3954
7,12,Symphony of Illumination,8.7,5250
7,13,Tailgate,7.7,3951
