rank,title,director,year,imdb_rating,id,site,producer_site,audience_scores,tomato_meter_scores,director_rot_tom,distributor,production_co,produced_by,producers_imdb,production_company
143,Ran,Akira Kurosawa,1985,8.2,tt0089881,https://www.imdb.com/title/tt0089881/,https://www.imdb.com/title/tt0089881/companycredits?ref_=ttfc_sa_3,95,96,Akira Kurosawa,Toho|Acteurs Auteurs Associés (AAA)|Kommunenes Filmcentral (KF)|Orion Classics|Sandrew Film & Teater,Greenwich Film Productions|Herald Ace|Kurosawa Production Co.|Nippon Herald Films,Toho|Acteurs Auteurs Associés (AAA)|Kommunenes Filmcentral (KF)|Orion Classics|Sandrew Film & Teater,Katsumi Furukawa|Masato Hara|Hisao Kurosawa|Serge Silberman,Greenwich Film Productions|Herald Ace|Kurosawa Production Co.|Nippon Herald Films
144,Casino,Martin Scorsese,1995,8.2,tt0112641,https://www.imdb.com/title/tt0112641/,https://www.imdb.com/title/tt0112641/companycredits?ref_=ttfc_sa_3,93,79,Martin Scorsese,Universal Pictures|Bontonfilm - Alfa|MCA/Universal Home Video|Filmes Lusomundo|United International Pictures (UIP),Universal Pictures|Syalis DA|Légende Entreprises|De Fina-Cappa|GGG,Universal Pictures|Bontonfilm - Alfa|MCA/Universal Home Video|Filmes Lusomundo|United International Pictures (UIP),Barbara De Fina|Alain Goldman|Joseph P. Reidy,Universal Pictures|Syalis DA|Légende Entreprises|De Fina-Cappa|GGG
145,No Country for Old Men,Joel Coen,2007,8.2,tt0477348,https://www.imdb.com/title/tt0477348/,https://www.imdb.com/title/tt0477348/companycredits?ref_=ttfc_sa_3,86,93,Joel Coen,Miramax|Alliance|Hispanic Education And Media Group|Amazon Prime Video|Buena Vista International,Paramount Vantage|Miramax|Scott Rudin Productions|Mike Zoss Productions,Miramax|Alliance|Hispanic Education And Media Group|Amazon Prime Video|Buena Vista International,Ethan Coen|Joel Coen|David Diliberto|Robert Graf|Mark Roybal|Scott Rudin,Paramount Vantage|Miramax|Scott Rudin Productions|Mike Zoss Productions
146,The Thing,John Carpenter,1982,8.2,tt0084787,https://www.imdb.com/title/tt0084787/,https://www.imdb.com/title/tt0084787/companycredits?ref_=ttfc_sa_3,92,85,John Carpenter,Universal Pictures|Cinema International Corporation (CIC),"Universal Pictures|Turman-Foster Company|Province of BC, Ministry of Tourism, Film Promotion Office|Province of British Columbia Production Services Tax Credit",Universal Pictures|Cinema International Corporation (CIC),Stuart Cohen|David Foster|Larry Franco|Wilbur Stark|Lawrence Turman,"Universal Pictures|Turman-Foster Company|Province of BC, Ministry of Tourism, Film Promotion Office|Province of British Columbia Production Services Tax Credit"
147,Top Gun: Maverick,Joseph Kosinski,2022,8.2,tt1745960,https://www.imdb.com/title/tt1745960/,https://www.imdb.com/title/tt1745960/companycredits?ref_=ttfc_sa_3,99,96,Joseph Kosinski,Paramount Distribution|Paramount Pictures|Paramount Pictures UK|Paramount Pictures France|Constantin Film,Paramount Pictures|Skydance Media|Jerry Bruckheimer Films|Don Simpson/Jerry Bruckheimer Films|New Republic Pictures,Paramount Distribution|Paramount Pictures|Paramount Pictures UK|Paramount Pictures France|Constantin Film,Jerry Bruckheimer|John K. Campbell|Emily Cheung|Tom Cruise|David Ellison|Don Ferrarone|Dana Goldberg|Don Granger|Tommy Harper|Christopher McQuarrie|Chad Oman|Melissa Reid|Mike Stenson,Paramount Pictures|Skydance Media|Jerry Bruckheimer Films|Don Simpson/Jerry Bruckheimer Films|New Republic Pictures
148,Prisoners,Denis Villeneuve,2013,8.2,tt1392214,https://www.imdb.com/title/tt1392214/,https://www.imdb.com/title/tt1392214/companycredits?ref_=ttfc_sa_3,87,81,Denis Villeneuve,Warner Bros.|Warner Bros. Pictures|Alfa Films,Alcon Entertainment|8:38 Productions|Madhouse Entertainment,Warner Bros.|Warner Bros. Pictures|Alfa Films,Kira Davis|Broderick Johnson|Adam Kolbrenner|Andrew A. Kosove|Stephen Levinson|Edward L. McDonnell|Robyn Meisinger|John H. Starke|Mark Wahlberg|Steven P. Wegner,Alcon Entertainment|8:38 Productions|Madhouse Entertainment
149,Pan's Labyrinth,Guillermo del Toro,2007,8.2,tt0457430,https://www.imdb.com/title/tt0457430/,https://www.imdb.com/title/tt0457430/companycredits?ref_=ttfc_sa_3,91,95,Guillermo del Toro,CDE|Bir Film|Cinema Mondo|Culture Publishers (CP)|Edko Films,Tequila Gang|Estudios Picasso|Esperanto Filmoj|Telecinco,CDE|Bir Film|Cinema Mondo|Culture Publishers (CP)|Edko Films,Víctor Albarrán|Belén Atienza|Álvaro Augustin|Alfonso Cuarón|Guillermo del Toro|David Ebner|Edmundo Gil|Elena Manrique|Bertha Navarro|Frida Torresblanco,Tequila Gang|Estudios Picasso|Esperanto Filmoj|Telecinco
150,Unforgiven,Clint Eastwood,1992,8.2,tt0105695,https://www.imdb.com/title/tt0105695/,https://www.imdb.com/title/tt0105695/companycredits?ref_=ttfc_sa_3,93,96,Clint Eastwood,Warner Bros.|Svenska Filminstitutet (SFI)|Warner Bros. Finland|Warner Bros. Pictures Germany|Warner Bros. Pictures,Warner Bros.|Malpaso Productions,Warner Bros.|Svenska Filminstitutet (SFI)|Warner Bros. Finland|Warner Bros. Pictures Germany|Warner Bros. Pictures,Clint Eastwood|Julian Ludwig|David Valdes,Warner Bros.|Malpaso Productions
151,Kill Bill: Vol. 1,Quentin Tarantino,2003,8.2,tt0266697,https://www.imdb.com/title/tt0266697/,https://www.imdb.com/title/tt0266697/companycredits?ref_=ttfc_sa_3,81,85,Quentin Tarantino,Miramax|Alliance Atlantis Communications|Buena Vista International|Ascot Elite Entertainment Group|Bioscop,Miramax|A Band Apart|Super Cool ManChu|Shaw Brothers,Miramax|Alliance Atlantis Communications|Buena Vista International|Ascot Elite Entertainment Group|Bioscop,Lawrence Bender|Mitsuhisa Ishikawa|Koko Maeda|Katsuji Morishita|Dede Nickerson|Kwame Parker|Erica Steinberg|E. Bennett Walsh|Bob Weinstein|Harvey Weinstein,Miramax|A Band Apart|Super Cool ManChu|Shaw Brothers
152,A Beautiful Mind,Ron Howard,2002,8.2,tt0268978,https://www.imdb.com/title/tt0268978/,https://www.imdb.com/title/tt0268978/companycredits?ref_=ttfc_sa_3,93,74,Ron Howard,Universal Pictures|Universal Pictures Canada|DreamWorks Distribution|United International Pictures (UIP)|Bontonfilm,Universal Pictures|DreamWorks Pictures|Imagine Entertainment,Universal Pictures|Universal Pictures Canada|DreamWorks Distribution|United International Pictures (UIP)|Bontonfilm,Brian Grazer|Todd Hallowell|Ron Howard|Karen Kehela Sherwood|Kathleen McGill|Maureen Peyrot|Aldric La'auli Porter|Louisa Velis,Universal Pictures|DreamWorks Pictures|Imagine Entertainment
