season,episode,title,rating,votes,episode_year
11,9,Grift of the Magi,7.3,2522,1999
11,10,Little Big Mom,7.3,2290,2000
11,11,Faith Off,6.8,2279,2000
11,12,The Mansion Family,7.3,2313,2000
11,13,Saddlesore Galactica,6.4,2513,2000
11,14,"Alone Again, Natura-Diddly",7.6,2882,2000
11,15,Missionary: Impossible,7.3,2373,2000
11,16,Pygmoelian,7.3,2273,2000
11,17,Bart to the Future,7.2,2522,2000
11,18,Days of Wine and D'oh'ses,7.4,2246,2000
11,19,Kill the Alligator and Run,6.5,2440,2000
11,20,Last Tap Dance in Springfield,7.1,2243,2000
11,21,"It's a Mad, Mad, Mad, Mad Marge",7.1,2314,2000
11,22,Behind the Laughter,7.9,2813,2000
12,1,Treehouse of Horror XI,7.6,2784,2000
12,2,A Tale of Two Springfields,7.4,2482,2000
12,3,Insane Clown Poppy,6.9,2277,2000
12,4,Lisa the Treehugger,7.1,2286,2000
12,5,Homer vs. Dignity,6.9,2389,2000
12,6,The Computer Wore Menace Shoes,7.7,2476,2000
12,7,The Great Money Caper,7.2,2289,2000
12,8,Skinner's Sense of Snow,7.9,2876,2000
12,9,HOMR,8.1,2776,2001
12,10,Pokey Mom,7.1,2426,2001
12,11,Worst Episode Ever,7.3,2315,2001
12,12,Tennis the Menace,6.8,2269,2001
12,13,Day of the Jackanapes,7.1,2123,2001
12,14,New Kids on the Blecch,7.2,2451,2001
12,15,Hungry Hungry Homer,7.5,2283,2001
12,16,"Bye, Bye, Nerdie",6.6,2198,2001
12,17,Simpson Safari,6.8,2256,2001
12,18,Trilogy of Error,8.6,3330,2001
12,19,I'm Goin' to Praiseland,7.1,2327,2001
12,20,Children of a Lesser Clod,7.2,2080,2001
12,21,Simpsons Tall Tales,6.8,2150,2001
13,1,Treehouse of Horror XII,7.6,2700,2001
13,2,The Parent Rap,7.1,2147,2001
13,3,Homer the Moe,7.1,2129,2001
13,4,A Hunka Hunka Burns in Love,7.1,2044,2001
13,5,The Blunder Years,7.6,2405,2001
13,6,She of Little Faith,7.1,2198,2001
13,7,Brawl in the Family,6.8,2018,2002
13,8,Sweets and Sour Marge,6.9,2022,2002
13,9,Jaws Wired Shut,7.3,2103,2002
13,10,Half-Decent Proposal,7.2,2244,2002
13,11,The Bart Wants What It Wants,7,1965,2002
13,12,The Lastest Gun in the West,6.5,2012,2002
13,13,The Old Man and the Key,6.5,1951,2002
13,14,Tales from the Public Domain,7.1,2031,2002
13,15,Blame It on Lisa,7,2094,2002
13,16,Weekend at Burnsie's,7.7,2301,2002
13,17,Gump Roast,5.4,2133,2002
13,18,I Am Furious Yellow,7.7,2224,2002
13,19,The Sweetest Apu,6.7,1886,2002
13,20,Little Girl in the Big Ten,7.1,1948,2002
13,21,The Frying Game,6.9,1994,2002
13,22,Papa's Got a Brand New Badge,7.7,2421,2002
14,1,Treehouse of Horror XIII,7.6,2529,2002
14,2,How I Spent My Strummer Vacation,7.4,2188,2002
14,3,Bart vs. Lisa vs. 3rd Grade,7.1,2054,2002
14,4,Large Marge,7.1,2154,2002
