"","oscar_winners","oscar_imdb_ratings","oscar_imdb_id","rank","oscar_titles","life_time_gross","movie_year","oscar_year","tconst"
"50","50. The Godfather (1972)","9.2","https://www.imdb.com/title/tt0068646/?ref_=adv_li_tt","50.","The Godfather",NA,1972,1972,"tt0068646"
"51","51. The French Connection (1971)","7.7","https://www.imdb.com/title/tt0067116/?ref_=adv_li_tt","51.","The French Connection",NA,1971,1971,"tt0067116"
"52","52. Patton (1970)","7.9","https://www.imdb.com/title/tt0066206/?ref_=adv_li_tt","52.","Patton",NA,1970,1970,"tt0066206"
"53","53. Midnight Cowboy (1969)","7.8","https://www.imdb.com/title/tt0064665/?ref_=adv_li_tt","53.","Midnight Cowboy",NA,1969,1969,"tt0064665"
"54","54. Oliver! (1968)","7.4","https://www.imdb.com/title/tt0063385/?ref_=adv_li_tt","54.","Oliver!",NA,1968,1968,"tt0063385"
"55","55. In the Heat of the Night (1967)","7.9","https://www.imdb.com/title/tt0061811/?ref_=adv_li_tt","55.","In the Heat of the Night",NA,1967,1967,"tt0061811"
"56","56. A Man for All Seasons (1966)","7.7","https://www.imdb.com/title/tt0060665/?ref_=adv_li_tt","56.","A Man for All Seasons",NA,1966,1966,"tt0060665"
"57","57. The Sound of Music (1965)","8.1","https://www.imdb.com/title/tt0059742/?ref_=adv_li_tt","57.","The Sound of Music",NA,1965,1965,"tt0059742"
"58","58. My Fair Lady (1964)","7.8","https://www.imdb.com/title/tt0058385/?ref_=adv_li_tt","58.","My Fair Lady",NA,1964,1964,"tt0058385"
"59","59. Tom Jones (1963)","6.4","https://www.imdb.com/title/tt0057590/?ref_=adv_li_tt","59.","Tom Jones",NA,1963,1963,"tt0057590"
"60","60. Lawrence of Arabia (1962)","8.3","https://www.imdb.com/title/tt0056172/?ref_=adv_li_tt","60.","Lawrence of Arabia",NA,1962,1962,"tt0056172"
"61","61. West Side Story (1961)","7.6","https://www.imdb.com/title/tt0055614/?ref_=adv_li_tt","61.","West Side Story",NA,1961,1961,"tt0055614"
"62","62. The Apartment (1960)","8.3","https://www.imdb.com/title/tt0053604/?ref_=adv_li_tt","62.","The Apartment",NA,1960,1960,"tt0053604"
"63","63. Ben-Hur (1959)","8.1","https://www.imdb.com/title/tt0052618/?ref_=adv_li_tt","63.","Ben-Hur",NA,1959,1959,"tt0052618"
"64","64. Gigi (1958)","6.6","https://www.imdb.com/title/tt0051658/?ref_=adv_li_tt","64.","Gigi",NA,1958,1958,"tt0051658"
"65","65. The Bridge on the River Kwai (1957)","8.2","https://www.imdb.com/title/tt0050212/?ref_=adv_li_tt","65.","The Bridge on the River Kwai",NA,1957,1957,"tt0050212"
"66","66. Around the World in 80 Days (1956)","6.7","https://www.imdb.com/title/tt0048960/?ref_=adv_li_tt","66.","Around the World in 80 Days",NA,1956,1956,"tt0048960"
"67","67. Marty (1955)","7.7","https://www.imdb.com/title/tt0048356/?ref_=adv_li_tt","67.","Marty",NA,1955,1955,"tt0048356"
"68","68. On the Waterfront (1954)","8.1","https://www.imdb.com/title/tt0047296/?ref_=adv_li_tt","68.","On the Waterfront",NA,1954,1954,"tt0047296"
"69","69. From Here to Eternity (1953)","7.6","https://www.imdb.com/title/tt0045793/?ref_=adv_li_tt","69.","From Here to Eternity",NA,1953,1953,"tt0045793"
"70","70. The Greatest Show on Earth (1952)","6.6","https://www.imdb.com/title/tt0044672/?ref_=adv_li_tt","70.","The Greatest Show on Earth",NA,1952,1952,"tt0044672"
"71","71. An American in Paris (1951)","7.2","https://www.imdb.com/title/tt0043278/?ref_=adv_li_tt","71.","An American in Paris",NA,1951,1951,"tt0043278"
"72","72. All About Eve (1950)","8.2","https://www.imdb.com/title/tt0042192/?ref_=adv_li_tt","72.","All About Eve",NA,1950,1950,"tt0042192"
"73","73. All the King's Men (1949)","7.4","https://www.imdb.com/title/tt0041113/?ref_=adv_li_tt","73.","All the King's Men",NA,1949,1949,"tt0041113"
"74","74. Hamlet (1948)","7.6","https://www.imdb.com/title/tt0040416/?ref_=adv_li_tt","74.","Hamlet",NA,1948,1948,"tt0040416"
"75","75. Gentleman's Agreement (1947)","7.2","https://www.imdb.com/title/tt0039416/?ref_=adv_li_tt","75.","Gentleman's Agreement",NA,1947,1947,"tt0039416"
"76","76. The Best Years of Our Lives (1946)","8.1","https://www.imdb.com/title/tt0036868/?ref_=adv_li_tt","76.","The Best Years of Our Lives",NA,1946,1946,"tt0036868"
"77","77. The Lost Weekend (1945)","7.9","https://www.imdb.com/title/tt0037884/?ref_=adv_li_tt","77.","The Lost Weekend",NA,1945,1945,"tt0037884"
"78","78. Going My Way (1944)","7","https://www.imdb.com/title/tt0036872/?ref_=adv_li_tt","78.","Going My Way",NA,1944,1944,"tt0036872"
"79","79. Mrs. Miniver (1942)","7.6","https://www.imdb.com/title/tt0035093/?ref_=adv_li_tt","79.","Mrs. Miniver",NA,1942,1943,"tt0035093"
"80","80. Casablanca (1942)","8.5","https://www.imdb.com/title/tt0034583/?ref_=adv_li_tt","80.","Casablanca",NA,1942,1944,"tt0034583"
"81","81. How Green Was My Valley (1941)","7.7","https://www.imdb.com/title/tt0033729/?ref_=adv_li_tt","81.","How Green Was My Valley",NA,1941,1941,"tt0033729"
"82","82. Rebecca (1940)","8.1","https://www.imdb.com/title/tt0032976/?ref_=adv_li_tt","82.","Rebecca",NA,1940,1940,"tt0032976"
"83","83. Gone with the Wind (1939)","8.2","https://www.imdb.com/title/tt0031381/?ref_=adv_li_tt","83.","Gone with the Wind",NA,1939,1939,"tt0031381"
"84","84. You Can't Take It with You (1938)","7.8","https://www.imdb.com/title/tt0030993/?ref_=adv_li_tt","84.","You Can't Take It with You",NA,1938,1938,"tt0030993"
"85","85. The Life of Emile Zola (1937)","7.2","https://www.imdb.com/title/tt0029146/?ref_=adv_li_tt","85.","The Life of Emile Zola",NA,1937,1937,"tt0029146"
"86","86. The Great Ziegfeld (1936)","6.7","https://www.imdb.com/title/tt0027698/?ref_=adv_li_tt","86.","The Great Ziegfeld",NA,1936,1936,"tt0027698"
"87","87. Mutiny on the Bounty (1935)","7.7","https://www.imdb.com/title/tt0026752/?ref_=adv_li_tt","87.","Mutiny on the Bounty",NA,1935,1935,"tt0026752"
"88","88. It Happened One Night (1934)","8.1","https://www.imdb.com/title/tt0025316/?ref_=adv_li_tt","88.","It Happened One Night",NA,1934,1934,"tt0025316"
"89","89. Cavalcade (1933)","5.9","https://www.imdb.com/title/tt0023876/?ref_=adv_li_tt","89.","Cavalcade",NA,1933,1933,"tt0023876"
"90","90. Grand Hotel (I) (1932)","7.3","https://www.imdb.com/title/tt0022958/?ref_=adv_li_tt","90.","Grand Hotel (I)",NA,1932,1932,"tt0022958"
"91","91. Cimarron (1931)","5.9","https://www.imdb.com/title/tt0021746/?ref_=adv_li_tt","91.","Cimarron",NA,1931,1931,"tt0021746"
"92","92. All Quiet on the Western Front (1930)","8.1","https://www.imdb.com/title/tt0020629/?ref_=adv_li_tt","92.","All Quiet on the Western Front",NA,1930,1930,"tt0020629"
"93","93. The Broadway Melody (1929)","5.6","https://www.imdb.com/title/tt0019729/?ref_=adv_li_tt","93.","The Broadway Melody",NA,1929,1929,"tt0019729"
"94","94. Wings (1927)","7.6","https://www.imdb.com/title/tt0018578/?ref_=adv_li_tt","94.","Wings",NA,1927,1928,"tt0018578"
