season,episode,title,rating,votes
9,1,The Locket,7.7,4774
9,2,Coming Back,7.5,4284
9,3,Last Time in New York,7.4,4121
9,4,The Broken Code,7.2,4022
9,5,The Poker Game,7.1,3999
9,6,Knight Vision,7.3,3972
9,7,No Questions Asked,7.2,4013
9,8,The Lighthouse,7.1,4038
9,9,Platonish,8.1,4555
9,10,Mom and Dad,6.6,4212
9,11,Bedtime Stories,5.8,6714
9,12,The Rehearsal Dinner,7.6,4414
9,13,Bass Player Wanted,8.1,4472
9,14,Slapsgiving 3: Slappointment in Slapmarra,6,6588
9,15,Unpause,8.2,4593
9,16,How Your Mother Met Me,9.5,12218
9,17,Sunrise,8.1,4903
9,18,Rally,7.9,4065
9,19,Vesuvius,7.5,4126
9,20,Daisy,8.3,4587
9,21,Gary Blauman,8.1,4670
9,22,The End of the Aisle,8.8,5909
9,23,Last Forever: Part One,6.6,11579
9,24,Last Forever: Part Two,5.5,22114
