"","year","title","id","nominees_or_winner","imdb_url","producers"
"17","2021","The Father","tt10272386","nominee","https://www.imdb.com/title/tt10272386","Les Films du Cru|Film4|Orange Studio|Canal+|Ciné+|Embankment Films|F Comme Film|Trademark Films|Ciné@|AG Studios NYC|Simon Friend Entertainment|Viewfinder"
"18","2021","The Trial of the Chicago 7","tt1070874","nominee","https://www.imdb.com/title/tt1070874","Dreamworks Pictures|Amblin Partners|Aperture Media Partners|CAA Media Finance|Cross Creek Pictures|Double Infinity Productions|Kodiak Pictures|MadRiver Pictures|Marc Platt Productions|Paramount Pictures|Reliance Entertainment|Rocket Science|ShivHans Pictures"
"19","2020","Parasite","tt6751668","winner","https://www.imdb.com/title/tt6751668","CJ Entertainment|Barunson E&A"
"20","2020","1917","tt8579674","nominee","https://www.imdb.com/title/tt8579674","Dreamworks Pictures|Reliance Entertainment|New Republic Pictures|Neal Street Productions|Mogambo|Amblin Partners"
"21","2020","Ford v Ferrari","tt1950186","nominee","https://www.imdb.com/title/tt1950186","Chernin Entertainment|TSG Entertainment|Turnpike Films|Twentieth Century Fox"
"22","2020","Jojo Rabbit","tt2584384","nominee","https://www.imdb.com/title/tt2584384","Fox Searchlight Pictures|TSG Entertainment|Defender Films|Piki Films|Czech Anglo Productions"
"23","2020","Joker","tt7286456","nominee","https://www.imdb.com/title/tt7286456","Warner Bros.|Village Roadshow Pictures|Village Roadshow Pictures|BRON Studios|Joint Effort|DC Comics|Creative Wealth Media Finance"
"24","2020","Little Women","tt3281548","nominee","https://www.imdb.com/title/tt3281548","Columbia Pictures|New Regency Productions|Pascal Pictures|Sony Pictures Entertainment"
"25","2020","Marriage Story","tt7653254","nominee","https://www.imdb.com/title/tt7653254","Heyday Films|Netflix"
"26","2020","Once Upon a Time... in Hollywood","tt7131622","nominee","https://www.imdb.com/title/tt7131622","Columbia Pictures|Bona Film Group|Heyday Films"
"27","2020","The Irishman","tt1302006","nominee","https://www.imdb.com/title/tt1302006","Tribeca Productions|Sikelia Productions|Winkler Films"
"28","2019","Green Book","tt6966692","winner","https://www.imdb.com/title/tt6966692","Participant|Dreamworks Pictures|Innisfree Pictures|Cinetic Media|Alibaba Pictures|Louisiana Entertainment|Wessler Entertainment"
"29","2019","A Star Is Born","tt1517451","nominee","https://www.imdb.com/title/tt1517451","Warner Bros. Pictures|Live Nation Productions|Metro-Goldwyn-Mayer|Peters Entertainment|Gerber Pictures|Joint Effort|Malpaso Productions"
"30","2019","BlacKkKlansman","tt7349662","nominee","https://www.imdb.com/title/tt7349662","Focus Features|Legendary Entertainment|Perfect World Pictures|QC Entertainment|Blumhouse Productions|Monkeypaw Productions|40 Acres & A Mule Filmworks"
"31","2019","Black Panther","tt1825683","nominee","https://www.imdb.com/title/tt1825683","Marvel Studios|Walt Disney Pictures"
"32","2019","Bohemian Rhapsody","tt1727824","nominee","https://www.imdb.com/title/tt1727824","Twentieth Century Fox|New Regency Productions|GK Films|TSG Entertainment|Queen Films Ltd.|Tribeca Productions"
"33","2019","Roma","tt6155172","nominee","https://www.imdb.com/title/tt6155172","Esperanto Filmoj|Participant|Pimienta Films"
"34","2019","The Favourite","tt5083738","nominee","https://www.imdb.com/title/tt5083738","Fox Searchlight Pictures|Film4|Waypoint Entertainment|Element Pictures|Scarlet Films|TSG Entertainment|Investment Incentives for the Irish Film Industry Provided by the Government of Ireland|BFI Film Fund|Bord Scannán na hÉireann / The Irish Film Board"
"35","2019","Vice","tt6266538","nominee","https://www.imdb.com/title/tt6266538","Annapurna Pictures|Gary Sanchez Productions|Plan B Entertainment|The Third Floor"
"36","2018","The Shape of Water","tt5580390","winner","https://www.imdb.com/title/tt5580390","Double Dare You|Fox Searchlight Pictures|TSG Entertainment"
"37","2018","Call Me by Your Name","tt5726616","nominee","https://www.imdb.com/title/tt5726616","Frenesy Film Company|La Cinéfacture|RT Features|Water's End Productions|M.Y.R.A. Entertainment|Ministero dei Beni e delle Attività Culturali e del Turismo|Lombardia Film Commission"
"38","2018","Darkest Hour","tt4555426","nominee","https://www.imdb.com/title/tt4555426","Focus Features|Perfect World Pictures|Working Title Films"
"39","2018","Dunkirk","tt5013056","nominee","https://www.imdb.com/title/tt5013056","Syncopy|Warner Bros.|Dombey Street Productions|Kaap Holland Film|Canal+|Ciné+|RatPac-Dune Entertainment"
"40","2018","Get Out","tt5052448","nominee","https://www.imdb.com/title/tt5052448","Universal Pictures|Blumhouse Productions|QC Entertainment|Monkeypaw Productions|Dentsu|Fuji Television Network"
"41","2018","Lady Bird","tt4925292","nominee","https://www.imdb.com/title/tt4925292","IAC Films|Scott Rudin Productions|Entertainment 360"
"42","2018","Phantom Thread","tt5776858","nominee","https://www.imdb.com/title/tt5776858","Focus Features|Annapurna Pictures|Perfect World Pictures|JoAnne Sellar Productions|Ghoulardi Film Company"
"43","2018","The Post","tt6294822","nominee","https://www.imdb.com/title/tt6294822","Twentieth Century Fox|Dreamworks Pictures|Reliance Entertainment|TSG Entertainment|Participant|Amblin Entertainment|Pascal Pictures|Star Thrower Entertainment"
"44","2018","Three Billboards Outside Ebbing, Missouri","tt5027774","nominee","https://www.imdb.com/title/tt5027774","Blueprint Pictures|Film 4|Fox Searchlight Pictures"
"45","2017","Moonlight","tt4975722","winner","https://www.imdb.com/title/tt4975722","A24|PASTEL|Plan B Entertainment"
"46","2017","Arrival","tt2543164","nominee","https://www.imdb.com/title/tt2543164","Lava Bear Films|FilmNation Entertainment|21 Laps Entertainment|Xenolinguistics"
"47","2017","Fences","tt2671706","nominee","https://www.imdb.com/title/tt2671706","BRON Studios|Escape Artists|MACRO|Paramount Pictures|Scott Rudin Productions"
"48","2017","Hacksaw Ridge","tt2119532","nominee","https://www.imdb.com/title/tt2119532","Summit Entertainment|Cross Creek Pictures|Demarest Films|Pandemonium|Argent Pictures|Bliss Media|Vendian Entertainment|IM Global|AI-Film|Creative Artists Agency|Kylin Pictures|Icon Productions|Permut Presentations|Screen Australia|Screen NSW"
"49","2017","Hell or High Water","tt2582782","nominee","https://www.imdb.com/title/tt2582782","CBS Films|Sidney Kimmel Entertainment|MWM Studios|Film 44|LBI Productions|Oddlot Entertainment"
"50","2017","Hidden Figures","tt4846340","nominee","https://www.imdb.com/title/tt4846340","Fox 2000 Pictures|Chernin Entertainment|Levantine Films|TSG Entertainment"
"51","2017","La La Land","tt3783958","nominee","https://www.imdb.com/title/tt3783958","Summit Entertainment|Black Label Media|TIK Films|Impostor Pictures|Gilbert Films|Marc Platt Productions"
"52","2017","Lion","tt3741834","nominee","https://www.imdb.com/title/tt3741834","The Weinstein Company|Screen Australia|See-Saw Films|Aquarius Films|Sunstar Entertainment|One Film at a Time|Screen Tasmania"
"53","2017","Manchester by the Sea","tt4034228","nominee","https://www.imdb.com/title/tt4034228","Amazon Studios|K Period Media|Pearl Street Films|The Media Farm|The Affleck/Middleton Project|B Story|Big Indie Pictures|MWM Studios"
"54","2016","Spotlight","tt1895587","winner","https://www.imdb.com/title/tt1895587","Participant|First Look Media|Anonymous Content|Rocklin/Faust|Open Road Films|Entertainment One|Topic Studios"
"55","2016","Bridge of Spies","tt3682448","nominee","https://www.imdb.com/title/tt3682448","Dreamworks Pictures|Fox 2000 Pictures|Reliance Entertainment|Participant|TSG Entertainment|Amblin Entertainment|Marc Platt Productions|Studio Babelsberg"
"56","2016","Brooklyn","tt2381111","nominee","https://www.imdb.com/title/tt2381111","Wildgaze Films|BBC Films|Parallel Film Productions|BAI|BBC Films|BFI Film Fund|Broadcasting Authority of Ireland|Bun and Ham Productions|Crédit d'Impôt Cinéma et Télévision|Finola Dwyer Productions|HanWay Films|Ingenious Productions|Item 7|Quebec Film and Television Tax Credit|Raidió Teilifís Éireann|Screen Ireland|Société de Développement des Entreprises Culturelles|The Government of Ireland|Téléfilm Canada"
"57","2016","Mad Max: Fury Road","tt1392190","nominee","https://www.imdb.com/title/tt1392190","Village Roadshow Pictures|Kennedy Miller Productions"
"58","2016","Room","tt3170832","nominee","https://www.imdb.com/title/tt3170832","Element Pictures|Film 4|FilmNation Entertainment|No Trace Camping|Ontario Media Development Corporation|Screen Ireland|Téléfilm Canada"
"59","2016","The Big Short","tt1596363","nominee","https://www.imdb.com/title/tt1596363","Paramount Pictures|New Regency Productions|Plan B Entertainment"
"60","2016","The Martian","tt3659388","nominee","https://www.imdb.com/title/tt3659388","Twentieth Century Fox|TSG Entertainment|Scott Free Productions|Genre Films|International Traders|Kinberg Genre|Mid Atlantic Films"
"61","2016","The Revenant","tt1663202","nominee","https://www.imdb.com/title/tt1663202","New Regency Productions|RatPac Entertainment|New Regency Productions|Anonymous Content|M Productions|Appian Way|Alpha Pictures|CatchPlay|Taiwanese Revenant"
"62","2015","Birdman or (The Unexpected Virtue of Ignorance)","tt2562232","winner","https://www.imdb.com/title/tt2562232","New Regency Productions|M Productions|Grisbi Productions, Le|TSG Entertainment|Worldview Entertainment"
"63","2015","American Sniper","tt2179136","nominee","https://www.imdb.com/title/tt2179136","Warner Bros.|Village Roadshow Pictures|RatPac-Dune Entertainment|Mad Chance|Joint Effort|Malpaso Productions|Zak Productions"
"64","2015","Boyhood","tt1065073","nominee","https://www.imdb.com/title/tt1065073","IFC Productions|Detour Filmproduction"
"65","2015","Selma","tt1020072","nominee","https://www.imdb.com/title/tt1020072","Pathé|Harpo Films|Plan B Entertainment|Cloud Eight Films|Ingenious Media|Celador Films|Pathe UK"
"66","2015","The Grand Budapest Hotel","tt2278388","nominee","https://www.imdb.com/title/tt2278388","Fox Searchlight Pictures|Indian Paintbrush|Studio Babelsberg|American Empirical Pictures|TSG Entertainment|Scott Rudin Productions"
"67","2015","The Imitation Game","tt2084970","nominee","https://www.imdb.com/title/tt2084970","Black Bear Pictures|FilmNation Entertainment|Bristol Automotive|Orange Corp|The Weinstein Company|Hishow Entertainment|West London Films"
"68","2015","The Theory of Everything","tt2980516","nominee","https://www.imdb.com/title/tt2980516","Working Title Films|Dentsu Motion Pictures|Fuji Television Network"
"69","2015","Whiplash","tt2582802","nominee","https://www.imdb.com/title/tt2582802","Bold Films|Blumhouse Productions|Right of Way Films|Sierra / Affinity"
"70","2014","12 Years a Slave","tt2024544","winner","https://www.imdb.com/title/tt2024544","New Regency Productions|River Road Entertainment|Plan B Entertainment|New Regency Productions|Film4|Fox Searchlight Pictures|Summit Entertainment"
"71","2014","American Hustle","tt1800241","nominee","https://www.imdb.com/title/tt1800241","Columbia Pictures|Annapurna Pictures|Atlas Entertainment|Fundamental Films"
"72","2014","Captain Phillips","tt1535109","nominee","https://www.imdb.com/title/tt1535109","Scott Rudin Productions|Michael De Luca Productions|Trigger Street Productions"
"73","2014","Dallas Buyers Club","tt0790636","nominee","https://www.imdb.com/title/tt0790636","Truth Entertainment|Voltage Pictures|r2 films|Evolution Independent|CE|RainMaker Films"
"74","2014","Gravity","tt1454468","nominee","https://www.imdb.com/title/tt1454468","Warner Bros.|Esperanto Filmoj|Heyday Films"
"75","2014","Her","tt1798709","nominee","https://www.imdb.com/title/tt1798709","Annapurna Pictures|Stage 6 Films"
"76","2014","Nebraska","tt1821549","nominee","https://www.imdb.com/title/tt1821549","Paramount Vantage|FilmNation Entertainment|Blue Lake Media Fund|Echo Lake Entertainment|Bona Fide Productions|Paramount Pictures"
"77","2014","Philomena","tt2431286","nominee","https://www.imdb.com/title/tt2431286","The Weinstein Company|Yucaipa Films|Pathé|BBC Films|British Film Institute|Canal+|Ciné+|Baby Cow Productions|Magnolia Mae Films|Philomena Lee"
"78","2014","The Wolf of Wall Street","tt0993846","nominee","https://www.imdb.com/title/tt0993846","Red Granite Pictures|Appian Way|Sikelia Productions|EMJAG Productions"
"79","2013","Argo","tt1024648","winner","https://www.imdb.com/title/tt1024648","Warner Bros.|GK Films|Smokehouse Pictures"
"80","2013","Amour","tt1602620","nominee","https://www.imdb.com/title/tt1602620","Les Films du Losange|X-Filme Creative Pool|Wega Film|France 3 Cinéma|ARD Degeto Film|Bayerischer Rundfunk|Westdeutscher Rundfunk"
"81","2013","Beasts of the Southern Wild","tt2125435","nominee","https://www.imdb.com/title/tt2125435","Cinereach|Department of Motion Pictures|Court 13 Pictures|Journeyman Pictures"
"82","2013","Django Unchained","tt1853728","nominee","https://www.imdb.com/title/tt1853728","The Weinstein Company|Columbia Pictures"
"83","2013","Les Misérables","tt1707386","nominee","https://www.imdb.com/title/tt1707386","Universal Pictures|Working Title Films|Cameron Mackintosh Ltd.|Relativity Media"
"84","2013","Life of Pi","tt0454876","nominee","https://www.imdb.com/title/tt0454876","Fox 2000 Pictures|Dune Entertainment|Ingenious Media|Haishang Films|Netter Productions|Big Screen Productions|Ingenious Film Partners"
"85","2013","Lincoln","tt0443272","nominee","https://www.imdb.com/title/tt0443272","Dreamworks Pictures|Twentieth Century Fox|Reliance Entertainment|Participant|Dune Entertainment|Amblin Entertainment|The Kennedy/Marshall Company|Touchstone Pictures|Walt Disney Pictures"
"86","2013","Silver Linings Playbook","tt1045658","nominee","https://www.imdb.com/title/tt1045658","The Weinstein Company"
"87","2013","Zero Dark Thirty","tt1790885","nominee","https://www.imdb.com/title/tt1790885","Columbia Pictures|Annapurna Pictures|First Light Production"
"88","2012","The Artist","tt1655442","winner","https://www.imdb.com/title/tt1655442","Studio 37|La Petite Reine|La Classe Américaine|JD Prod|France 3 Cinéma|Jouror Productions|uFilm|Canal+|CinéCinéma|France Télévisions|Tax Shelter du Gouvernement Fédéral Belge"
"89","2012","Extremely Loud & Incredibly Close","tt0477302","nominee","https://www.imdb.com/title/tt0477302","Warner Bros.|Scott Rudin Productions|Paramount Pictures"
"90","2012","Hugo","tt0970179","nominee","https://www.imdb.com/title/tt0970179","Paramount Pictures|GK Films|Infinitum Nihil|Janimation"
"91","2012","Midnight in Paris","tt1605783","nominee","https://www.imdb.com/title/tt1605783","Mediapro|Versátil Cinema|Gravier Productions|Pontchartrain Productions|Televisió de Catalunya|Catalan Films & TV"
"92","2012","Moneyball","tt1210166","nominee","https://www.imdb.com/title/tt1210166","Columbia Pictures|Scott Rudin Productions|Michael De Luca Productions|Film Rites|Sidney Kimmel Entertainment|Specialty Films"
"93","2012","The Descendants","tt1033575","nominee","https://www.imdb.com/title/tt1033575","Fox Searchlight Pictures|Ad Hominem Enterprises|Dune Entertainment"
"94","2012","The Help","tt1454029","nominee","https://www.imdb.com/title/tt1454029","DreamWorks|Dreamworks Pictures|Reliance Film & Entertainment|Participant|Imagenation|1492 Pictures|Harbinger Pictures"
"95","2012","The Tree of Life","tt0478304","nominee","https://www.imdb.com/title/tt0478304","Cottonwood Pictures|River Road Entertainment|Fox Searchlight Pictures|Brace Cove Productions|Plan B Entertainment|Summit Entertainment"
"96","2012","War Horse","tt1568911","nominee","https://www.imdb.com/title/tt1568911","Dreamworks Pictures|Touchstone Pictures|Reliance Entertainment|Amblin Entertainment|The Kennedy/Marshall Company"
"97","2011","The King's Speech","tt1504320","winner","https://www.imdb.com/title/tt1504320","The Weinstein Company|UK Film Council|Momentum Pictures|Aegis Film Fund|Molinare Investment|FilmNation Entertainment|See-Saw Films|Bedlam Productions"
"98","2011","127 Hours","tt1542344","nominee","https://www.imdb.com/title/tt1542344","Fox Searchlight Pictures|Pathé|Everest Entertainment|Cloud Eight Films|Decibel Films|Darlow Smithson Productions|Dune Entertainment|Film4|Big Screen Productions"
"99","2011","Black Swan","tt0947798","nominee","https://www.imdb.com/title/tt0947798","Fox Searchlight Pictures|Cross Creek Pictures|Protozoa Pictures|Phoenix Pictures|Dune Entertainment"
"100","2011","Inception","tt1375666","nominee","https://www.imdb.com/title/tt1375666","Warner Bros.|Legendary Entertainment|Syncopy"
"101","2011","The Fighter","tt0964517","nominee","https://www.imdb.com/title/tt0964517","Closest to the Hole Productions|Fighter|Mandeville Films|Relativity Media|The Park Entertainment|The Weinstein Company"
"102","2011","The Kids Are All Right","tt0842926","nominee","https://www.imdb.com/title/tt0842926","Focus Features|Gilbert Films|Saint Aire Production|10th Hole Productions|Antidote Films|Mandalay Vision|UGC PH"
"103","2011","The Social Network","tt1285016","nominee","https://www.imdb.com/title/tt1285016","Columbia Pictures|Relativity Media|Scott Rudin Productions|Michael De Luca Productions|Trigger Street Productions"
"104","2011","Toy Story 3","tt0435761","nominee","https://www.imdb.com/title/tt0435761","Walt Disney Pictures|Pixar Animation Studios"
"105","2011","True Grit","tt1403865","nominee","https://www.imdb.com/title/tt1403865","Paramount Pictures|Skydance Media|Scott Rudin Productions|Mike Zoss Productions"
"106","2011","Winter's Bone","tt1399683","nominee","https://www.imdb.com/title/tt1399683","Anonymous Content|Winter's Bone Productions"
"107","2010","The Hurt Locker","tt0887912","winner","https://www.imdb.com/title/tt0887912","Voltage Pictures|Grosvenor Park Media|Film Capital Europe Funds|First Light Production|Kingsgate Films|Summit Entertainment"
"108","2010","A Serious Man","tt1019452","nominee","https://www.imdb.com/title/tt1019452","Focus Features|StudioCanal|Relativity Media|Mike Zoss Productions|Working Title Films"
"109","2010","An Education","tt1174732","nominee","https://www.imdb.com/title/tt1174732","BBC Films|Finola Dwyer Productions|Wildgaze Films|Endgame Entertainment|An Education Distribution|Odyssey Entertainment"
"110","2010","Avatar","tt0499549","nominee","https://www.imdb.com/title/tt0499549","Twentieth Century Fox|Dune Entertainment|Lightstorm Entertainment"
"111","2010","District 9","tt1136608","nominee","https://www.imdb.com/title/tt1136608","TriStar Pictures|Block / Hanson|WingNut Films|Canadian Film or Video Production Tax Credit|Covert Media|Department of Trade and Industry of South Africa|District 9|Key Creatives|Majority Entertainment|New Zealand Post Digital and Visual Effects Grant|Province of British Columbia Production Services Tax Credit|QED International"
"112","2010","Inglourious Basterds","tt0361748","nominee","https://www.imdb.com/title/tt0361748","Universal Pictures|The Weinstein Company|A Band Apart|Studio Babelsberg|Visiona Romantica"
"113","2010","Precious","tt0929632","nominee","https://www.imdb.com/title/tt0929632","Lionsgate|Lee Daniels Entertainment|Smokewood Entertainment Group"
"114","2010","The Blind Side","tt0878804","nominee","https://www.imdb.com/title/tt0878804","Alcon Entertainment|3 Arts Entertainment|Left Tackle Pictures|Netter Productions|Zucker/Netter Productions"
"115","2010","Up","tt1049413","nominee","https://www.imdb.com/title/tt1049413","Pixar Animation Studios|Walt Disney Pictures"
"116","2010","Up in the Air","tt1193138","nominee","https://www.imdb.com/title/tt1193138","Paramount Pictures|Cold Spring Pictures|DreamWorks|The Montecito Picture Company|Rickshaw Productions|Right of Way Films"
"117","2009","Slumdog Millionaire","tt1010048","winner","https://www.imdb.com/title/tt1010048","Celador Films|Film4|Fox Searchlight Pictures|Warner Bros.|Pathé"
"118","2009","Frost/Nixon","tt0870111","nominee","https://www.imdb.com/title/tt0870111","Universal Pictures|Imagine Entertainment|Working Title Films|StudioCanal|Relativity Media|Digital Image Associates"
"119","2009","Milk","tt1013753","nominee","https://www.imdb.com/title/tt1013753","Focus Features|Axon Films|Groundswell Productions|Jinks/Cohen Company|Cinema Vehicles"
"120","2009","The Curious Case of Benjamin Button","tt0421715","nominee","https://www.imdb.com/title/tt0421715","Warner Bros.|Paramount Pictures|The Kennedy/Marshall Company"
"121","2009","The Reader","tt0976051","nominee","https://www.imdb.com/title/tt0976051","The Weinstein Company|Mirage Enterprises|Studio Babelsberg|Filmförderungsanstalt|Deutscher Filmförderfonds|Medienboard Berlin-Brandenburg|Mitteldeutsche Medienförderung|Filmstiftung Nordrhein-Westfalen"
"122","2008","No Country for Old Men","tt0477348","winner","https://www.imdb.com/title/tt0477348","Paramount Vantage|Miramax|Scott Rudin Productions|Mike Zoss Productions"
"123","2008","Atonement","tt0783233","nominee","https://www.imdb.com/title/tt0783233","Universal Pictures|StudioCanal|Relativity Media|Working Title Films"
"124","2008","Juno","tt0467406","nominee","https://www.imdb.com/title/tt0467406","Fox Searchlight Pictures|Mandate Pictures|Mr. Mudd"
"125","2008","Michael Clayton","tt0465538","nominee","https://www.imdb.com/title/tt0465538","Samuels Media|Castle Rock Entertainment|Mirage Enterprises|Section Eight|Clayton Productions"
"126","2008","There Will Be Blood","tt0469494","nominee","https://www.imdb.com/title/tt0469494","Paramount Vantage|Miramax|Ghoulardi Film Company"
"127","2007","The Departed","tt0407887","winner","https://www.imdb.com/title/tt0407887","Warner Bros.|Plan B Entertainment|Initial Entertainment Group|Vertigo Entertainment|Media Asia Films"
"128","2007","Babel","tt0449467","nominee","https://www.imdb.com/title/tt0449467","Paramount Pictures|Paramount Vantage|Anonymous Content|Zeta Film|Central Films|StudioCanal|Media Rights Capital"
"129","2007","Letters from Iwo Jima","tt0498380","nominee","https://www.imdb.com/title/tt0498380","Dreamworks Pictures|Warner Bros.|Malpaso Productions|Amblin Entertainment"
"130","2007","Little Miss Sunshine","tt0449059","nominee","https://www.imdb.com/title/tt0449059","Fox Searchlight Pictures|Big Beach Films|Bona Fide Productions|Deep River Productions|Third Gear Productions|Major Studio Partners"
"131","2007","The Queen","tt0436697","nominee","https://www.imdb.com/title/tt0436697","Pathé Pictures International|Pathé|Granada Film Productions|Pathé Renn Productions|BIM Distribuzione|BIM Production|France 3 Cinéma|Canal+|Future Films|Scott Rudin Productions"
"132","2006","Crash","tt0375679","winner","https://www.imdb.com/title/tt0375679","Bob Yari Productions|DEJ Productions|Blackfriars Bridge Films|Harris Company|ApolloProScreen Filmproduktion|Bull's Eye Entertainment|Incognito Pictures"
"133","2006","Brokeback Mountain","tt0388795","nominee","https://www.imdb.com/title/tt0388795","Focus Features|River Road Entertainment|Alberta Film Entertainment|Good Machine"
"134","2006","Capote","tt0379725","nominee","https://www.imdb.com/title/tt0379725","United Artists|Sony Pictures Classics|A-Line Pictures|Cooper's Town Productions|Infinity Media|Eagle Vision|Capote Productions|United Artists"
"135","2006","Good Night, and Good Luck.","tt0433383","nominee","https://www.imdb.com/title/tt0433383","Warner Independent Pictures|2929 Productions|Participant|Davis-Films|Redbus Pictures|Tohokushinsha Film Corporation|Section Eight|Metropolitan Talent Agency"
"136","2006","Munich","tt0408306","nominee","https://www.imdb.com/title/tt0408306","Dreamworks Pictures|Universal Pictures|Amblin Entertainment|The Kennedy/Marshall Company|Barry Mendel Productions|Alliance Atlantis Communications|Peninsula Films"
"137","2005","Million Dollar Baby","tt0405159","winner","https://www.imdb.com/title/tt0405159","Warner Bros.|Lakeshore Entertainment|Malpaso Productions|Ruddy Productions|Epsilon Motion Pictures|StudioCanal"
"138","2005","Finding Neverland","tt0308644","nominee","https://www.imdb.com/title/tt0308644","Miramax|FilmColony|Keylight Productions"
"139","2005","Ray","tt0350258","nominee","https://www.imdb.com/title/tt0350258","Universal Pictures|Bristol Bay Productions|Anvil Films|Baldwin Entertainment Group|Walden Media"
"140","2005","Sideways","tt0375063","nominee","https://www.imdb.com/title/tt0375063","Fox Searchlight Pictures|Michael London Productions|Sideways Productions Inc."
"141","2005","The Aviator","tt0338751","nominee","https://www.imdb.com/title/tt0338751","Forward Pass|Appian Way|IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG|Initial Entertainment Group|Warner Bros.|Miramax|Cappa Productions|Mel's Cite du Cinema"
"142","2004","The Lord of the Rings: The Return of the King","tt0167260","winner","https://www.imdb.com/title/tt0167260","New Line Cinema|WingNut Films|The Saul Zaentz Company"
"143","2004","Lost in Translation","tt0335266","nominee","https://www.imdb.com/title/tt0335266","Focus Features|Tohokushinsha Film Corporation|American Zoetrope|Elemental Films"
"144","2004","Master and Commander: The Far Side of the World","tt0311113","nominee","https://www.imdb.com/title/tt0311113","Twentieth Century Fox|Miramax|Universal Pictures|Samuel Goldwyn Films"
"145","2004","Mystic River","tt0327056","nominee","https://www.imdb.com/title/tt0327056","Warner Bros.|Village Roadshow Pictures|NPV Entertainment|Malpaso Productions"
"146","2004","Seabiscuit","tt0329575","nominee","https://www.imdb.com/title/tt0329575","Universal Pictures|Dreamworks Pictures|Spyglass Entertainment|Larger Than Life Productions|The Kennedy/Marshall Company|Touchstone Pictures"
"147","2003","Chicago","tt0299658","winner","https://www.imdb.com/title/tt0299658","Miramax|Producers Circle|Storyline Entertainment|Kalis Productions GmbH & Co. KG"
"148","2003","Gangs of New York","tt0217505","nominee","https://www.imdb.com/title/tt0217505","Miramax|Initial Entertainment Group|Alberto Grimaldi Productions"
"149","2003","The Hours","tt0274558","nominee","https://www.imdb.com/title/tt0274558","Paramount Pictures|Miramax|Scott Rudin Productions"
"150","2003","The Lord of the Rings: The Two Towers","tt0167261","nominee","https://www.imdb.com/title/tt0167261","New Line Cinema|WingNut Films|The Saul Zaentz Company"
"151","2003","The Pianist","tt0253474","nominee","https://www.imdb.com/title/tt0253474","R.P. Productions|Heritage Films|Studio Babelsberg|Runteam|Canal+|StudioCanal|Bac Films|Canal+ Polska|Telewizja Polska|Agencja Produkcji Filmowej|Filmboard Berlin-Brandenburg|FilmFernsehFonds Bayern|Filmförderungsanstalt|Beverly Detroit|Interscope Communications|Mainstream S.A."
"152","2002","A Beautiful Mind","tt0268978","winner","https://www.imdb.com/title/tt0268978","Universal Pictures|Dreamworks Pictures|Imagine Entertainment"
"153","2002","Gosford Park","tt0280707","nominee","https://www.imdb.com/title/tt0280707","USA Films|Capitol Films|Film Council|Sandcastle 5 Productions|Chicagofilms|Medusa Film"
