"index","Title","URL"
89,"Truffle Burger | Soho","https://www.google.com/maps/place/Truffle+Burger+%7C+Soho/data=!4m2!3m1!1s0x4876059100c87df5:0x404de0c814fca68c"
90,"The Kati Roll Company","https://www.google.com/maps/place/The+Kati+Roll+Company/data=!4m2!3m1!1s0x89c2599227e6cc1b:0xb4d5e12eaca2e69"
91,"Bungalow","https://www.google.com/maps/place/Bungalow/data=!4m2!3m1!1s0x89c2590044e143c5:0x5d377f3ad3b83659"
92,"Kossar's Bagels & Bialys","https://www.google.com/maps/place/Kossar's+Bagels+%26+Bialys/data=!4m2!3m1!1s0x89c259663529b5a7:0x53b097d44e33737e"
93,"Ditroit Taqueria","https://www.google.com/maps/place/Ditroit+Taqueria/data=!4m2!3m1!1s0x80c2c78944329bed:0x8d82d8dcd8a4e21d"
94,"Cielito Lindo","https://www.google.com/maps/place/Cielito+Lindo/data=!4m2!3m1!1s0x80c2c644e77fb3f7:0xa16b6aee8087c200"
95,"Chuy's Tacos Dorados","https://www.google.com/maps/place/Chuy's+Tacos+Dorados/data=!4m2!3m1!1s0x80c2c622c545fe8f:0xfa7cb7ecc55b99f0"
96,"Cárnitas Los Gabrieles","https://www.google.com/maps/place/C%C3%A1rnitas+Los+Gabrieles/data=!4m2!3m1!1s0x80c2c710c51a5cb9:0xdf1b7048b4b73966"
97,"Bar Amá","https://www.google.com/maps/place/Bar+Am%C3%A1/data=!4m2!3m1!1s0x80c2c64a30bef53d:0xfab8c3b719a965a5"
98,"X'tiosu Kitchen","https://www.google.com/maps/place/X'tiosu+Kitchen/data=!4m2!3m1!1s0x80c2c5e4ed716a19:0x94fda53d78522067"
99,"Santa Rita Jalisco Taco Truck","https://www.google.com/maps/place/Santa+Rita+Jalisco+Taco+Truck/data=!4m2!3m1!1s0x80c2cf676969e66f:0x8189f1cc0c292355"
100,"Tacos el toro (al vapor)","https://www.google.com/maps/place/Tacos+el+toro+(al+vapor)/data=!4m2!3m1!1s0x80c2cf22544d03d1:0x62664efb67ded6ad"
101,"Tacos Don Cuco","https://www.google.com/maps/place/Tacos+Don+Cuco/data=!4m2!3m1!1s0x80c2cf07267cba07:0x3213c5ee9806d249"
102,"Tacos De Canasta El abuelo","https://www.google.com/maps/place/Tacos+De+Canasta+El+abuelo/data=!4m2!3m1!1s0x80c2c8bbaaaaaaab:0x3c43d3a8f579b493"
103,"Tacos Baja","https://www.google.com/maps/place/Tacos+Baja/data=!4m2!3m1!1s0x80c2cfa66934a4b9:0xcf1328b02baa82"
104,"Tacos Al Vapor El Canelo","https://www.google.com/maps/place/Tacos+Al+Vapor+El+Canelo/data=!4m2!3m1!1s0x80c2cfb5b7c4621f:0xef047bc5e44be950"
105,"Sergio's Tacos","https://www.google.com/maps/place/Sergio's+Tacos/data=!4m2!3m1!1s0x80c2cefe20ceb091:0xcced620ed3170e61"
106,"Santa Cecilia Restaurant","https://www.google.com/maps/place/Santa+Cecilia+Restaurant/data=!4m2!3m1!1s0x80c2c611920ca5c5:0x8795401ec19a475f"
107,"El Camaron Pelado","https://www.google.com/maps/place/El+Camaron+Pelado/data=!4m2!3m1!1s0x80c2c6865eb36621:0xb00dc26e413292d6"
108,"Mariscos 4 Vientos","https://www.google.com/maps/place/Mariscos+4+Vientos/data=!4m2!3m1!1s0x80c2c8b107ba534f:0x26139bf0de9bcfec"
109,"LOS GARDUÑOS BARBACOA","https://www.google.com/maps/place/LOS+GARDU%C3%91OS+BARBACOA/data=!4m2!3m1!1s0x80c2c70cc187dffd:0xdc209afa3f9682d0"
110,"Los Dorados LA","https://www.google.com/maps/place/Los+Dorados+LA/data=!4m2!3m1!1s0x80c2c57622c89017:0x509151fc50e21f4f"
111,"Carnitas Los Dos Chingones","https://www.google.com/maps/place/Carnitas+Los+Dos+Chingones/data=!4m2!3m1!1s0x80c2c97b98339bc9:0xaa7d8d170b7203c4"
112,"Evil Cooks","https://www.google.com/maps/place/Evil+Cooks/data=!4m2!3m1!1s0x80c2c5d49b17139f:0x1a2f660c63b11058"
113,"El Jaliscience","https://www.google.com/maps/place/El+Jaliscience/data=!4m2!3m1!1s0x80c2cc2baaa5f6ed:0xa6b674c24bd1c819"
114,"Asadero Chikali","https://www.google.com/maps/place/Asadero+Chikali/data=!4m2!3m1!1s0x80c2cf9de09aa941:0x110db178f0834bd6"
115,"Villa's Tacos Grand Central Market","https://www.google.com/maps/place/Villa's+Tacos+Grand+Central+Market/data=!4m2!3m1!1s0x80c2c70011d94a9f:0x96b32746895702bb"
116,"Mariscos El Faro","https://www.google.com/maps/place/Mariscos+El+Faro/data=!4m2!3m1!1s0x80c2c40d8e807cdb:0xee8579981dc9983f"
117,"El Atacor","https://www.google.com/maps/place/El+Atacor/data=!4m2!3m1!1s0x80c2d2721a444a93:0x571b93e66dbef895"
118,"Taco Nazo","https://www.google.com/maps/place/Taco+Nazo/data=!4m2!3m1!1s0x80c2d085e28cbba9:0x8abfa75fe02fde97"
119,"Saucy Chick Goat Mafia","https://www.google.com/maps/place/Saucy+Chick+Goat+Mafia/data=!4m2!3m1!1s0x80c2c508fe23f603:0xb53290492d2d8b6b"
120,"Playa del Carmen Restaurant","https://www.google.com/maps/place/Playa+del+Carmen+Restaurant/data=!4m2!3m1!1s0x80c2c39e72c79ddf:0xd8cb08d32114f304"
121,"Arturo's TacoTruck","https://www.google.com/maps/place/Arturo's+TacoTruck/data=!4m2!3m1!1s0x80c2c37b7514ee77:0x8f12d1e060e89611"
122,"Arturo's Puffy Taco","https://www.google.com/maps/place/Arturo's+Puffy+Taco/data=!4m2!3m1!1s0x80c2d4c9dd47374d:0x22ccba7be6b3491b"
123,"Taqueria Mi Ranchito","https://www.google.com/maps/place/Taqueria+Mi+Ranchito/data=!4m2!3m1!1s0x80c28e2c66d21997:0x35b63b397167e591"
124,"Tacos El Vampiro","https://www.google.com/maps/place/Tacos+El+Vampiro/data=!4m2!3m1!1s0x80c2902bab280489:0x5522a4fbf2196d43"
126,"Angel’s Tijuana Tacos","https://www.google.com/maps/place/Angel%E2%80%99s+Tijuana+Tacos/data=!4m2!3m1!1s0x80c29b7759949f3d:0xc62bf6143050d0c2"
127,"King Taco","https://www.google.com/maps/place/King+Taco/data=!4m2!3m1!1s0x80c2c371deb90c39:0xc67c72c5b7386f64"
128,"Cabo da Roca","https://www.google.com/maps/place/Cabo+da+Roca/data=!4m2!3m1!1s0xd1edac0235d438d:0x953ad8a898fcb3af"
129,"鵠沼海岸","https://www.google.com/maps/place/%E9%B5%A0%E6%B2%BC%E6%B5%B7%E5%B2%B8/data=!4m2!3m1!1s0x60184f9a91802577:0xbd358b8d631203e0"
130,"Taquería El Califa de León","https://www.google.com/maps/place/Taquer%C3%ADa+El+Califa+de+Le%C3%B3n/data=!4m2!3m1!1s0x85d1f8cfab01d80d:0x913045c236575e79"
131,"Kravica Waterfall","https://www.google.com/maps/place/Kravica+Waterfall/data=!4m2!3m1!1s0x134b0dbd11aad181:0xf6bd890e2045e895"
132,"Tailuge Xia","https://www.google.com/maps/place/Tailuge+Xia/data=!4m2!3m1!1s0x3468836f0cf3867b:0x5b536e1ec64c6dc1"
133,"Raohe Street Night Market","https://www.google.com/maps/place/Raohe+Street+Night+Market/data=!4m2!3m1!1s0x3442ab9c0db4a583:0x3da21183815df6f6"
134,"Fuzhou Ancestor Pepper Pie","https://www.google.com/maps/place/Fuzhou+Ancestor+Pepper+Pie/data=!4m2!3m1!1s0x3442ab9bf6540ee7:0xf6153ef7f8c50824"
135,"Smoothie House","https://www.google.com/maps/place/Smoothie+House/data=!4m2!3m1!1s0x3442a98248480381:0x3d73a36c99133097"
136,"Tian Jin Onion Pancake","https://www.google.com/maps/place/Tian+Jin+Onion+Pancake/data=!4m2!3m1!1s0x3442a98585673043:0xe9aa78fb08f95aed"
138,"Pildong Myeonok","https://www.google.com/maps/place/Pildong+Myeonok/data=!4m2!3m1!1s0x357ca39ddc71cbcd:0x814a72540d78a6f1"
139,"Yeollin Songhyeon Square","https://www.google.com/maps/place/Yeollin+Songhyeon+Square/data=!4m2!3m1!1s0x357ca32cf165f6bd:0xd6c9a90cb1aadc35"
140,"Namdaemun Market","https://www.google.com/maps/place/Namdaemun+Market/data=!4m2!3m1!1s0x357ca2f516e5887d:0xcd371b16a3ec2061"
141,"Shinsegae Department Store Main Store","https://www.google.com/maps/place/Shinsegae+Department+Store+Main+Store/data=!4m2!3m1!1s0x357ca2f1587c7819:0xd74d3707fbcde464"
142,"Ttukseom Hangang Park","https://www.google.com/maps/place/Ttukseom+Hangang+Park/data=!4m2!3m1!1s0x357ca57eccc96a27:0x89367b6700b91513"
143,"Myeongdong Street","https://www.google.com/maps/place/Myeongdong+Street/data=!4m2!3m1!1s0x357ca2f1c7af3d5f:0x50d5593269776722"
144,"Garosu-gil","https://www.google.com/maps/place/Garosu-gil/data=!4m2!3m1!1s0x357ca3d126133031:0x5d8d2af0a60327df"
145,"Wimbledon Park Beach Volleyball","https://www.google.com/maps/place/Wimbledon+Park+Beach+Volleyball/data=!4m2!3m1!1s0x48760f4ec0f097bf:0xe68cbc4ad0cf5c88"
146,"Wimbledon Park","https://www.google.com/maps/place/Wimbledon+Park/data=!4m2!3m1!1s0x48760f48fb2e7659:0x8c7560c826a09c5a"
147,"Itaewon Market","https://www.google.com/maps/place/Itaewon+Market/data=!4m2!3m1!1s0x357ca2ed7fa0f2fb:0xc02eaad789060a06"
148,"Beach Volleyball Court","https://www.google.com/maps/place/Beach+Volleyball+Court/data=!4m2!3m1!1s0x357ca5d8e554d2b5:0x12fca09c3dcddf9"
149,"Tōji Temple","https://www.google.com/maps/place/T%C5%8Dji+Temple/data=!4m2!3m1!1s0x6001060485fbaa4d:0xd3ee2dd9b0177910"
150,"Sushi Dokoro Shun Shinjuku Park Tower Ten","https://www.google.com/maps/place/Sushi+Dokoro+Shun+Shinjuku+Park+Tower+Ten/data=!4m2!3m1!1s0x6018f32d2c7f9779:0xf9139408721c2174"
151,"Coffee Elementary School","https://www.google.com/maps/place/Coffee+Elementary+School/data=!4m2!3m1!1s0x601889e58402f165:0xe3c5b82ee6210c38"
152,"Tsuta","https://www.google.com/maps/place/Tsuta/data=!4m2!3m1!1s0x60188d9855555555:0xdea04732d13039fc"
153,"Arashiyama","https://www.google.com/maps/place/Arashiyama/data=!4m2!3m1!1s0x6001075451efd3e3:0xabaad64f597b014c"
154,"Kurama Station","https://www.google.com/maps/place/Kurama+Station/data=!4m2!3m1!1s0x6001a66ae18766a9:0xbd117d7fe527f213"
155,"Dolan’s Uyghur Cuisine","https://www.google.com/maps/place/Dolan%E2%80%99s+Uyghur+Cuisine/data=!4m2!3m1!1s0x80c2c545b72b2851:0x94763ca31c5e9487"
156,"Angelini Osteria","https://www.google.com/maps/place/Angelini+Osteria/data=!4m2!3m1!1s0x80c2b929757c0d23:0x1fc9e1301ab75903"
157,"Nem Nướng Khánh Hoà","https://www.google.com/maps/place/Nem+N%C6%B0%E1%BB%9Bng+Kh%C3%A1nh+Ho%C3%A0/data=!4m2!3m1!1s0x80c2c513f00cfa2b:0xa67201f7c230dcbe"
158,"Moo's Craft Barbecue","https://www.google.com/maps/place/Moo's+Craft+Barbecue/data=!4m2!3m1!1s0x80c2cf0c5ae4fcdd:0xe6501d37c5c212b8"
159,"Surawon Tofu House","https://www.google.com/maps/place/Surawon+Tofu+House/data=!4m2!3m1!1s0x80c2c778986be973:0x3d909a2a64d66e7f"
160,"The Little Jewel of New Orleans","https://www.google.com/maps/place/The+Little+Jewel+of+New+Orleans/data=!4m2!3m1!1s0x80c2c65adf56b007:0x3029097586d1a8f8"
161,"Hangari Kalguksu","https://www.google.com/maps/place/Hangari+Kalguksu/data=!4m2!3m1!1s0x80c2b88234d199c7:0x1d5cc9184ed82800"
162,"Perilla LA","https://www.google.com/maps/place/Perilla+LA/data=!4m2!3m1!1s0x80c2b9b7a46e23b1:0x9bf64969a1b78380"
163,"Republique","https://www.google.com/maps/place/Republique/data=!4m2!3m1!1s0x80c2b8dfce39a0a9:0x9ab1e575a704621c"
164,"Oo Kook Korean BBQ","https://www.google.com/maps/place/Oo+Kook+Korean+BBQ/data=!4m2!3m1!1s0x80c2b8817bd39a39:0xbfe4f8b2f5877d94"
165,"Lupe's Hot Dog Stand","https://www.google.com/maps/place/Lupe's+Hot+Dog+Stand/data=!4m2!3m1!1s0x80c2cf712f02d295:0x3a2ee2cb8ad34652"
166,"Al & Bea's Mexican Food","https://www.google.com/maps/place/Al+%26+Bea's+Mexican+Food/data=!4m2!3m1!1s0x80c2c60f7a7b3c99:0x70db80871ba3b908"
167,"LASA","https://www.google.com/maps/place/LASA/data=!4m2!3m1!1s0x80c2c65a5fa77793:0x528753c7437c1001"
168,"Soban Restaurant","https://www.google.com/maps/place/Soban+Restaurant/data=!4m2!3m1!1s0x80c2b88c9bbe2b45:0x8f371e46e6ac9ab7"
169,"Third Window Brewing","https://www.google.com/maps/place/Third+Window+Brewing/data=!4m2!3m1!1s0x80e9138682f9d60f:0xf0256c62dd6040fb"
170,"Ichiran","https://www.google.com/maps/place/Ichiran/data=!4m2!3m1!1s0x89c259af1989db01:0xfff4c602a3069de6"
171,"Pijja Palace","https://www.google.com/maps/place/Pijja+Palace/data=!4m2!3m1!1s0x80c2c7863a790509:0x3c452c04f63eacb9"
172,"Sea Harbour Seafood Restaurant","https://www.google.com/maps/place/Sea+Harbour+Seafood+Restaurant/data=!4m2!3m1!1s0x80c2da8f651834fd:0x8aa158c3ced53a02"
173,"Kang Kang Food Court","https://www.google.com/maps/place/Kang+Kang+Food+Court/data=!4m2!3m1!1s0x80c2c537c04c1307:0x3fdf68bd8d187663"
174,"Pho Bình By Night","https://www.google.com/maps/place/Pho+B%C3%ACnh+By+Night/data=!4m2!3m1!1s0x8640dd0fdd1a9b5d:0x3dda7663bb04a738"
175,"L’industrie Pizzeria West Village","https://www.google.com/maps/place/L%E2%80%99industrie+Pizzeria+West+Village/data=!4m2!3m1!1s0x89c2599568ac63f7:0x78fb89ff91782eb0"
