season,episode,title,rating,votes
18,5,Cat Fight,6.7,1211
18,6,Peter & Lois' Wedding,6.9,1266
18,7,Heart Burn,6.6,1172
18,8,Shanksgiving,6.5,1148
18,9,Christmas Is Coming,6.7,1277
18,10,Connie's Celica,6.5,1098
18,11,Short Cuts,6.6,1096
18,12,Undergrounded,6.7,1081
18,13,Rich Old Stewie,7.2,1242
18,14,The Movement,6.6,1115
18,15,Baby Stewie,7.1,1182
18,16,Start Me Up,6.4,1094
18,17,Coma Guy,7,1152
18,18,Better Off Meg,6.6,1103
18,19,Holly Bibble,6.5,1220
18,20,Movin' In (Principal Shepherd's Song),6.6,1051
19,1,Stewie's First Word,6.7,1407
19,2,The Talented Mr. Stewie,6.4,1261
19,3,Boys & Squirrels,5.9,1266
19,4,CutawayLand,6.3,1272
19,5,La Famiglia Guy,6.9,1322
19,6,Meg's Wedding,6.4,1138
19,7,Wild Wild West,7,1248
19,8,Pawtucket Pat,5.9,1245
19,9,The First No L,7,1166
19,10,Fecal Matters,7.2,1153
19,11,Boy's Best Friend,6.8,1032
19,12,And Then There's Fraud,6.1,1085
19,13,PeTerminator,7.8,1485
19,14,The Marrying Kind,6.5,1024
19,15,Customer of the Week,7.3,1285
19,16,Who's Brian Now?,6.6,984
19,17,Young Parent Trap,7.1,1036
19,18,Meg Goes to College,6.6,953
19,19,Family Cat,7,1036
19,20,Tales of Former Sports Glory,6.2,1062
20,1,LASIK Instinct,6.4,1246
20,2,Rock Hard,6.1,1122
20,3,Must Love Dogs,6.8,1086
20,4,80's Guy,6.6,1052
20,5,Brief Encounter,6.5,1035
20,6,Cootie & The Blowhard,6.5,993
20,7,Peterschmidt Manor,6.5,973
20,8,The Birthday Bootlegger,6.4,968
20,9,The Fatman Always Rings Twice,7.6,1265
20,10,Christmas Crime,6.7,968
20,11,Mister Act,6.3,1006
20,12,The Lois Quagmire,6.8,969
20,13,Lawyer Guy,6.3,942
20,14,HBO-No,6.3,999
20,15,Hard Boiled Meg,7.1,994
20,16,Prescription Heroine,6.7,950
20,17,All About Alana,6.8,984
20,18,"Girlfriend, Eh?",6.5,906
20,19,First Blood,6.3,883
20,20,Jersey Bore,6.2,843
21,1,Oscars Guy,7.2,1294
21,2,Bend or Blockbuster,6.9,1218
21,3,A Wife-Changing Experience,6.8,1070
21,4,The Munchurian Candidate,7.7,1433
21,5,Unzipped Code,6.5,933
21,6,Happy Holo-ween,7,1021
21,7,The Stewaway,7.1,990
21,8,Get Stewie,6.3,918
21,9,Carny Knowledge,6.4,866
21,10,The Candidate,6.3,897
21,11,Love Story Guy,6.4,865
21,12,Old West,5.8,879
21,13,Single White Dad,7.2,961
21,14,White Meg Can't Jump,6.6,800
21,15,Adoptation,6.7,808
21,16,The Bird Reich,6.6,819
21,17,A Bottle Episode,6.6,886
21,18,Vat Man and Rob 'Em,6.2,766
21,19,From Russia with Love,6.3,870
21,20,Adult Education,6.5,854
22,1,Fertilized Megg,6.2,1035
22,2,Supermarket Pete,6.4,891
22,3,A Stache from the Past,5.7,872
22,4,Old World Harm,6.5,812
22,5,"Baby, It's Cold Inside",6.5,786
22,6,Boston Stewie,6.2,835
22,7,Snap(ple) Decision,6.3,744
22,8,Baking Sad,6.1,750
22,9,The Return of the King (of Queens),5.9,769
22,10,Cabin Pressure,6.4,662
22,11,Teacher's Heavy Pet,6.4,697
22,12,Take This Job and Love It,6.7,679
22,13,Lifeguard Meg,6.3,655
22,14,Fat Actor,6.3,660
22,15,Faith No More,5.8,975
22,16,"Peter, Peter, Pumpkin Cheater",6.7,768
22,17,Gift of the White Guy,6.4,578
23,1,Fat Gun,6.7,884
23,2,"Live, Laugh, Love",6.1,722
23,3,Drunk with Power,4.8,1066
23,4,Lois C.K.,6.3,676
23,5,The Chicken or the Meg,6.2,682
23,6,Dog Is My Co-Pilot,6.7,627
23,7,Pitch Imperfect,6.4,601
23,8,Hard Times at Adam West High,6.6,602
23,9,The Elle Word,6.5,572
23,10,A Real Who's Hulu,5.7,600
23,11,China Doll,6.3,601
23,12,One Foot in Front of the Mother,6.4,525
23,13,The Fat Lotus,6.4,529
23,14,Cool Hand Lois,5.7,579
23,15,Martian Meg,6.2,511
23,16,Row v. Wade,5.9,529
23,17,Karenheit 451,5.8,539
23,18,Twain's World,5.8,541
23,19,A Little Fright Music,6.3,498
23,20,Disney's Hulu's Family Guy's Hallmark Channel's Lifetime's Familiar Holiday Movie,6.2,443
24,1,The Edible Arrangement,7.7,871
24,2,Pumpkin Spice Girls,6.8,521
24,3,Man-Fest Destiny,6.3,489
24,4,Bringing Up Brady,6.2,418
24,5,Dear Francis,6.8,426
24,6,Viewer DMs,6.2,424
24,7,Scent of a Woman,6.6,376
24,8,Play Time,6,375
24,9,Phony Montana,6.4,400
24,10,A Few More Ways to Die in the West,6.2,332
24,11,Tall Stewie,6.5,332
24,12,Lower G.I. Joe,6.3,280
24,13,Friend's Best Man,6,276
24,14,Let the Goodtimes Walk,6.9,272
24,15,High School History,6.6,248
