name,address,country_code,date_utc,google_maps_url,latitude,longitude
JERUSALEM CHICKEN,"4448 W Slauson Ave, Windsor Hills, CA 90043, United States",US,2023-02-05 00:00:00,http://maps.google.com/?cid=3609018590787136024,33.9886296,-118.3535349
WangJia Restaurant,"800 W Las Tunas Dr Ste 300, San Gabriel, CA 91776, United States",US,2023-02-05 00:00:00,http://maps.google.com/?cid=11451064076266206118,34.1021311,-118.111217
No location information is available for this saved place,,,2022-12-20 00:00:00,"http://maps.google.com/?q=34.112721,-118.267328",0,0
Kismet,"4648 Hollywood Blvd, Los Angeles, CA 90027, United States",US,2022-12-15 00:00:00,http://maps.google.com/?cid=6767216724005807591,34.1002247,-118.2907264
Zzamong,"4255 W 3rd St, Los Angeles, CA 90020, United States",US,2022-11-23 00:00:00,http://maps.google.com/?cid=17253031070163603805,34.0692979,-118.3072249
Hanuman Thai Eatery,"355 Bristol St Ste U, Costa Mesa, CA 92626, United States",US,2022-11-13 00:00:00,http://maps.google.com/?cid=1636960801529633082,33.6649046,-117.8804071
Joe & Pat's NYC,"168 1st Ave, New York, NY 10009, United States",US,2022-11-13 00:00:00,http://maps.google.com/?cid=3667720939092691152,40.728906,-73.9840414
Katz's Delicatessen,"205 E Houston St, New York, NY 10002, United States",US,2022-11-04 00:00:00,http://maps.google.com/?cid=3545819340560108778,40.722233,-73.987429
Olde Brooklyn Bagel Shoppe,"645 Vanderbilt Ave, Brooklyn, NY 11238, United States",US,2022-11-02 00:00:00,http://maps.google.com/?cid=16555593007182166186,40.6777427,-73.9686315
blūm coffee & wine bar,"511 Meeting St Suite 201, Charleston, SC 29403, United States",US,2022-11-01 00:00:00,http://maps.google.com/?cid=17923453025316417327,32.7974987,-79.9418548
Portillo's & Barnelli's Chicago,"100 W Ontario St, Chicago, IL 60610, United States",US,2022-10-31 00:00:00,http://maps.google.com/?cid=5806266154725630959,41.893511,-87.6315393
Gish Bac,"4163 W Washington Blvd, Los Angeles, CA 90018, United States",US,2022-10-25 00:00:00,http://maps.google.com/?cid=17271870151626132386,34.040048,-118.330324
Hail Mary Pizza,"3219 Glendale Blvd, Los Angeles, CA 90039, United States",US,2022-10-23 00:00:00,http://maps.google.com/?cid=3347298177352789057,34.118414,-118.260886
No location information is available for this saved place,,,2022-10-14 00:00:00,"http://maps.google.com/?q=34.075931,-118.350319",0,0
Tatsu Ramen,"2123 Sawtelle Blvd, Los Angeles, CA 90025, United States",US,2022-10-08 00:00:00,http://maps.google.com/?cid=16134312368465516128,34.0388722,-118.4423879
Lunasia Dim Sum House,"500 W Main St, Alhambra, CA 91801, United States",US,2022-10-04 00:00:00,http://maps.google.com/?cid=3308824034866572166,34.0922794,-118.1321981
Noodle St,"2323 E Chapman Ave Ste B, Fullerton, CA 92831, United States",US,2022-09-30 00:00:00,http://maps.google.com/?cid=12521927065382750939,33.8745302,-117.8905937
Pizzana,"11712 San Vicente Blvd, Los Angeles, CA 90049, United States",US,2022-09-21 00:00:00,http://maps.google.com/?cid=4371507322870213746,34.0533058,-118.4660211
Yang's Kitchen,"112 W Main St, Alhambra, CA 91801, United States",US,2022-08-08 00:00:00,http://maps.google.com/?cid=13914054683256375191,34.0943735,-118.1281888
HiroNori Craft Ramen,"2222 Michelson Dr #234, Irvine, CA 92612, United States",US,2022-07-29 00:00:00,http://maps.google.com/?cid=8739717908117716858,33.6762973,-117.8555533
Two Guns Kitchen,"321 Main St, El Segundo, CA 90245, United States",US,2022-07-25 00:00:00,http://maps.google.com/?cid=9481715444596718082,33.9198184,-118.4162205
Laut,"15 E 17th St, New York, NY 10003, United States",US,2022-07-22 00:00:00,http://maps.google.com/?cid=6751469154857413119,40.7375843,-73.9910991
Randazzo Pastry Shop & Bakery,"611 US-202, Raritan, NJ 08869, United States",US,2022-07-18 00:00:00,http://maps.google.com/?cid=3772683273478634579,40.5739031,-74.6382771
